"Time (s)","Pressure (hPa)"
2.663893500E-2,1.026336182E3
1.266389350E-1,1.026336182E3
2.266389350E-1,1.026330322E3
3.266389350E-1,1.026374512E3
4.266389350E-1,1.026374512E3
5.266389350E-1,1.026394287E3
6.266389350E-1,1.026365723E3
7.266364350E-1,1.026365723E3
8.266362920E-1,1.026376221E3
9.266362920E-1,1.026367188E3
1.026636292E0,1.026367188E3
1.113242423E0,1.025760986E3
1.212243423E0,1.025769287E3
1.312241423E0,1.025770508E3
1.412240923E0,1.025776123E3
1.512240256E0,1.025767822E3
1.612235006E0,1.025787842E3
1.712233406E0,1.025851318E3
1.812233072E0,1.025785645E3
1.912232786E0,1.025776611E3
2.012232536E0,1.025793457E3
2.112232424E0,1.025789062E3
2.212232324E0,1.025792969E3
2.312232233E0,1.025793945E3
2.412232066E0,1.025797607E3
2.512231989E0,1.025811523E3
2.612231060E0,1.025809570E3
2.712231060E0,1.025796387E3
2.812230935E0,1.025800537E3
2.912230935E0,1.025798096E3
3.012230823E0,1.025814697E3
3.112230770E0,1.025828125E3
3.214844652E0,1.025827881E3
3.314844604E0,1.025838867E3
3.414844558E0,1.025832031E3
3.514844471E0,1.025817139E3
3.614843554E0,1.025819824E3
3.714842674E0,1.025830322E3
3.814842674E0,1.025838135E3
3.914842599E0,1.025817139E3
4.014842563E0,1.025801514E3
4.114842494E0,1.025820312E3
4.214842494E0,1.025815430E3
4.314842494E0,1.025834961E3
4.414842494E0,1.025868652E3
4.514842494E0,1.025852783E3
4.614842494E0,1.025874756E3
4.714842327E0,1.025874756E3
4.814842327E0,1.025877441E3
4.914842360E0,1.025875244E3
5.014842393E0,1.025875244E3
5.114842359E0,1.025859131E3
5.214842359E0,1.025887207E3
5.314842359E0,1.025887207E3
5.414842359E0,1.025895752E3
5.514842359E0,1.025903564E3
5.614842059E0,1.025903564E3
5.714842025E0,1.025937988E3
5.814842025E0,1.025962158E3
5.914842025E0,1.025962158E3
6.014842058E0,1.025955322E3
6.114842058E0,1.025979736E3
6.214842091E0,1.025979736E3
6.314842057E0,1.025968262E3
6.414842023E0,1.025976562E3
6.514842023E0,1.025976562E3
6.614842056E0,1.025992432E3
6.714842556E0,1.026006348E3
6.814841856E0,1.026006348E3
6.914841856E0,1.026010010E3
7.014841889E0,1.026028076E3
7.114841889E0,1.026028076E3
7.214841855E0,1.026027344E3
7.314841855E0,1.026029785E3
7.414841855E0,1.026029785E3
7.514841888E0,1.026057129E3
7.614841854E0,1.026043213E3
7.714842120E0,1.026043213E3
7.814842120E0,1.025958740E3
7.914842120E0,1.025933350E3
8.014842086E0,1.025933350E3
8.114842119E0,1.025868408E3
8.214842152E0,1.025848145E3
8.314842118E0,1.025848145E3
8.414842118E0,1.025758545E3
8.514842118E0,1.025762939E3
8.614842118E0,1.025762939E3
8.714841718E0,1.025700195E3
8.814841751E0,1.025676025E3
8.914841717E0,1.025676025E3
9.014841717E0,1.025652588E3
9.114841683E0,1.025634277E3
9.214841649E0,1.025634277E3
9.314841649E0,1.025635986E3
9.414841682E0,1.025644775E3
9.514841715E0,1.025644775E3
9.614841681E0,1.025668213E3
9.714841914E0,1.025694824E3
9.814842547E0,1.025694824E3
9.914842547E0,1.025735107E3
1.001484248E1,1.025753662E3
1.011484251E1,1.025753662E3
1.021484251E1,1.025801514E3
1.031484255E1,1.025849854E3
1.041484255E1,1.025849854E3
1.051484251E1,1.025865967E3
1.061484251E1,1.025874756E3
1.071484265E1,1.025867188E3
1.081484198E1,1.025873047E3
1.091484198E1,1.025853760E3
1.101484201E1,1.025852295E3
1.111484198E1,1.025854736E3
1.121484198E1,1.025845703E3
1.131484198E1,1.025837402E3
1.141484201E1,1.025856934E3
1.151484198E1,1.025851074E3
1.161484201E1,1.025864746E3
1.171484244E1,1.025841064E3
1.181484208E1,1.025860352E3
1.191484204E1,1.025858643E3
1.201484201E1,1.025854248E3
1.211484201E1,1.025858398E3
1.221484201E1,1.025864258E3
1.231484204E1,1.025875000E3
1.241484201E1,1.025889404E3
1.251484201E1,1.025886230E3
1.261484201E1,1.025918457E3
1.271484201E1,1.025924561E3
1.281484201E1,1.025948730E3
1.291484204E1,1.025977539E3
1.301484204E1,1.025989746E3
1.311484204E1,1.025978271E3
1.321484204E1,1.025999756E3
1.331484204E1,1.026005615E3
1.341484200E1,1.025998779E3
1.351484204E1,1.026019531E3
1.361484204E1,1.026011230E3
1.371484130E1,1.026041748E3
1.381484197E1,1.026019531E3
1.391484194E1,1.026000732E3
1.401484190E1,1.026006348E3
1.411484194E1,1.026005859E3
1.421484190E1,1.026011475E3
1.431484193E1,1.026037598E3
1.441484193E1,1.026024658E3
1.451484197E1,1.026014648E3
1.461484193E1,1.026010742E3
1.471484243E1,1.026000977E3
1.481484277E1,1.025983887E3
1.491484277E1,1.025984375E3
1.501484277E1,1.025972656E3
1.511484280E1,1.025975830E3
1.521484280E1,1.026002197E3
1.531484280E1,1.026009521E3
1.541484283E1,1.026020752E3
1.551484286E1,1.026017334E3
1.561484300E1,1.026007812E3
1.571484226E1,1.026001709E3
1.581484226E1,1.026009766E3
1.591484230E1,1.026004883E3
1.601484230E1,1.025984863E3
1.611484230E1,1.025960449E3
1.621484230E1,1.025971436E3
1.631484230E1,1.025963623E3
1.641484233E1,1.025955322E3
1.651484233E1,1.025976074E3
1.661484233E1,1.025981689E3
1.671484310E1,1.025991455E3
