"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.053290580E-1,4.484671116E0,6.573270559E-1,-6.293857098E0
8.153290240E-1,4.636157036E0,9.168180823E-1,-5.911364555E0
8.253289900E-1,5.109225273E0,1.069615602E0,-5.476315498E0
8.353289560E-1,5.797725677E0,1.201496243E0,-5.078635693E0
8.453289220E-1,6.348964691E0,1.410723448E0,-4.841511250E0
8.553289220E-1,6.794829369E0,1.621090651E0,-4.657833576E0
8.653288880E-1,7.432357311E0,1.752509594E0,-4.377419472E0
8.753288880E-1,8.648810387E0,1.635193348E0,-3.672950268E0
8.853288880E-1,9.699836731E0,1.456227899E0,-3.111644268E0
8.953288540E-1,1.037976933E1,1.333796024E0,-2.871510029E0
9.053288540E-1,1.083342648E1,1.265536070E0,-2.844583511E0
9.153288200E-1,1.105407429E1,1.149058223E0,-3.071838856E0
9.253288200E-1,1.085839653E1,1.076859593E0,-3.577288151E0
9.353288200E-1,1.039025021E1,1.105126619E0,-4.055417061E0
9.453287860E-1,8.980330467E0,1.299161792E0,-4.494377136E0
9.553287860E-1,8.121806145E0,1.300848484E0,-4.259671211E0
9.653287860E-1,1.043699265E1,1.461896896E-1,4.674501419E-1
9.753287860E-1,1.103539371E1,-8.401138783E-1,1.115051270E0
9.853296520E-1,1.130771446E1,-1.894440413E0,-4.942760468E-1
9.953294520E-1,1.249022961E1,-2.412695885E0,-3.278064728E-1
1.005329285E0,1.303793144E1,-3.945113182E0,-1.734477520E0
1.015330751E0,1.331179237E1,-2.310263157E0,1.252733517E1
1.025330517E0,1.166533756E1,-3.014800787E0,1.142583561E1
1.035331017E0,1.469624138E1,-1.054684162E0,1.649985886E1
1.045330383E0,1.204753208E1,-1.199615121E0,1.169143581E1
1.131941423E0,9.335503578E0,-6.320280552E0,-5.435755253E0
1.141942423E0,9.331686020E0,-6.318572521E0,-5.437021732E0
1.150922423E0,9.327865601E0,-6.316878319E0,-5.438281059E0
1.160416423E0,9.330061913E0,-6.322450161E0,-5.433454037E0
1.170083089E0,9.336343765E0,-6.337035179E0,-5.420815468E0
1.179833089E0,9.342885971E0,-6.351246834E0,-5.408471107E0
1.189632889E0,9.350104332E0,-6.364908695E0,-5.396623135E0
1.199466055E0,9.358943939E0,-6.377860546E0,-5.385462761E0
1.209323055E0,9.367352486E0,-6.389703751E0,-5.375241280E0
1.219198180E0,9.373164177E0,-6.400740147E0,-5.365540981E0
1.229087068E0,9.375024796E0,-6.411405087E0,-5.355909824E0
1.238986968E0,9.374402046E0,-6.421676636E0,-5.346454620E0
1.248895968E0,9.374717712E0,-6.432288647E0,-5.336716652E0
1.258812634E0,9.376686096E0,-6.442564487E0,-5.327365398E0
1.268735634E0,9.380940437E0,-6.452159405E0,-5.318758011E0
1.278664134E0,9.386903763E0,-6.460895538E0,-5.311021328E0
1.288597400E0,9.394227982E0,-6.469022751E0,-5.303915024E0
1.298534900E0,9.402021408E0,-6.477019787E0,-5.296930313E0
1.308476076E0,9.407954216E0,-6.485066891E0,-5.289768219E0
1.318420464E0,9.410584450E0,-6.493210793E0,-5.282301903E0
1.328367885E0,9.411586761E0,-6.502019405E0,-5.274104595E0
1.338317885E0,9.413566589E0,-6.512331486E0,-5.264527321E0
1.348270218E0,-1.019590855E0,1.092751503E0,-2.062419891E0
1.358224763E0,-1.179083586E0,1.446127892E0,-2.160377502E0
1.368181241E0,-1.051821232E0,1.654529572E0,-2.130008698E0
1.378139574E0,-1.049225688E0,1.646181583E0,-2.122212887E0
