"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.453389350E-1,7.182604820E-2,7.968202591E0,5.178957462E0
2.553389350E-1,4.788403399E-3,7.958625793E0,5.303455830E0
2.653389350E-1,-4.548983276E-2,7.987356186E0,5.377676487E0
2.753389350E-1,-5.267243832E-2,8.063970566E0,5.346551895E0
2.853389350E-1,-5.985504389E-2,8.159738541E0,5.248389244E0
2.953389350E-1,-7.422025502E-2,8.265083313E0,5.049670696E0
3.053389350E-1,-5.506663769E-2,8.265083313E0,4.831499100E0
3.153389350E-1,4.070143029E-2,8.152556419E0,4.604049683E0
3.253389350E-1,-3.112462163E-2,8.004115105E0,4.496310711E0
3.353389350E-1,-1.244984865E-1,7.896376610E0,4.560954094E0
3.453389350E-1,-1.723825186E-1,7.865252018E0,5.028122902E0
3.553389350E-1,1.556231081E-1,7.917924404E0,5.614702225E0
3.653389350E-1,7.110779285E-1,8.207622528E0,5.803843975E0
3.753389350E-1,1.515529633E0,8.684068680E0,5.430348873E0
3.853389350E-1,2.245761156E0,9.292196274E0,4.599261284E0
3.953389350E-1,2.703053713E0,9.699210167E0,3.730166197E0
4.053389350E-1,2.901772499E0,9.919476509E0,3.086126089E0
4.153389350E-1,2.767697096E0,9.885957718E0,2.542642117E0
4.253389350E-1,2.485181332E0,9.596260071E0,2.403778553E0
4.353389350E-1,2.267308950E0,9.146149635E0,2.894589901E0
4.453389350E-1,2.188300371E0,8.765471458E0,3.866635799E0
4.553389350E-1,2.173935175E0,8.356062889E0,4.977844715E0
4.653389350E-1,2.260126352E0,8.059182167E0,6.048052788E0
4.753389350E-1,2.286462545E0,8.035240173E0,6.785466671E0
4.853389350E-1,1.865083098E0,8.116642952E0,6.941090107E0
4.953389350E-1,7.852981687E-1,8.116642952E0,6.450278759E0
5.053389350E-1,1.316810995E-1,7.362469673E0,5.892429829E0
5.153389350E-1,1.508347094E-1,5.997774601E0,4.781220913E0
5.253389350E-1,-5.434837937E-1,5.765536785E0,3.962403774E0
5.353389350E-1,-1.970427990E0,6.605901718E0,3.394978046E0
5.453389690E-1,-3.751713991E0,7.695263386E0,2.973598480E0
5.553389690E-1,-4.783615112E0,7.963414192E0,2.798821688E0
