"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.773307940E-1,-1.791209579E0,7.298847198E0,2.684981823E0
8.873307940E-1,-1.657430172E0,6.915223598E0,2.326403856E0
8.973307600E-1,-1.551750422E0,5.816277027E0,1.954386950E0
9.073307600E-1,-1.486998677E0,4.551785946E0,1.646510959E0
9.173307260E-1,-1.415527463E0,3.476052284E0,1.389336586E0
9.273307260E-1,-1.349554062E0,2.716135979E0,1.161483884E0
9.373307260E-1,-1.270752430E0,2.096107721E0,8.627707958E-1
9.473306920E-1,-1.083216786E0,2.058233976E0,6.550766230E-1
9.573306920E-1,-6.910412908E-1,2.642221212E0,4.522693455E-1
9.673306920E-1,2.545780838E-1,4.187099457E0,-7.712173741E-3
9.773306920E-1,4.064544678E0,1.039226818E1,-1.709582806E0
9.873315580E-1,6.159812450E0,1.330426311E1,-2.336941242E0
9.973313580E-1,6.694319725E0,1.348874474E1,-2.298456907E0
1.007331191E0,7.248985291E0,1.350157261E1,-2.243479013E0
1.017332657E0,8.012566566E0,1.307213402E1,-2.228818178E0
1.027332423E0,1.049267960E1,-1.361473560E1,-1.388878465E0
1.037332923E0,2.114051819E0,-1.991703224E1,-1.306411743E0
1.047332289E0,-3.678936064E-1,-4.403498650E0,-2.533639908E0
1.111936423E0,-2.703078650E-2,-1.005636901E-1,-5.413793400E-2
1.123602697E0,-2.703078650E-2,-1.005636901E-1,-5.413793400E-2
1.133601697E0,-2.703078650E-2,-1.005636901E-1,-5.413793400E-2
1.143601697E0,-2.703078650E-2,-1.005636901E-1,-5.413793400E-2
1.153261697E0,-2.703078650E-2,-1.005636901E-1,-5.413793400E-2
1.163008697E0,9.880745411E-2,2.466368489E-2,1.672243699E-2
1.172808697E0,9.086620808E-2,1.427897532E-2,-3.436116967E-3
1.182642030E0,7.987063378E-2,3.283400787E-3,-2.909245715E-2
1.192499030E0,6.704246253E-2,-2.825251780E-3,-6.269004941E-2
