"Time (s)","Illuminance (lx)"
3.702843652E0,1.786000000E3
3.742844652E0,1.669000000E3
3.782843652E0,1.617000000E3
3.822845652E0,1.569000000E3
3.862845652E0,1.566000000E3
3.942844652E0,1.547000000E3
3.982843652E0,1.528000000E3
4.022844652E0,1.565000000E3
4.062843652E0,1.600000000E3
4.102844652E0,1.695000000E3
4.142843652E0,1.749000000E3
4.182845652E0,1.863000000E3
4.222845652E0,2.013000000E3
4.262844652E0,2.108000000E3
4.302844652E0,2.236000000E3
4.342844652E0,2.240000000E3
4.382844652E0,2.190000000E3
4.422844652E0,2.153000000E3
4.462844652E0,2.144000000E3
4.502844652E0,2.139000000E3
4.542844652E0,2.144000000E3
4.582844652E0,2.141000000E3
4.622824652E0,2.132000000E3
4.662817652E0,2.107000000E3
4.702827652E0,2.080000000E3
4.742843652E0,2.065000000E3
4.782844652E0,2.082000000E3
4.822843652E0,2.087000000E3
4.862844652E0,2.075000000E3
4.902844652E0,2.031000000E3
4.942843652E0,2.000000000E3
4.982844652E0,1.954000000E3
5.022844652E0,1.937000000E3
5.062844652E0,1.904000000E3
5.102843652E0,1.885000000E3
5.142845652E0,1.880000000E3
5.182843652E0,1.871000000E3
5.262843652E0,1.862000000E3
5.302844652E0,1.865000000E3
5.342843652E0,1.876000000E3
5.422843652E0,1.869000000E3
5.462843652E0,1.858000000E3
5.502843652E0,1.860000000E3
5.542843652E0,1.861000000E3
5.582844652E0,1.871000000E3
5.622823652E0,1.881000000E3
5.662843652E0,1.889000000E3
5.702843652E0,1.894000000E3
5.742843652E0,1.922000000E3
5.782843652E0,1.940000000E3
5.822843652E0,1.952000000E3
5.862845652E0,1.963000000E3
5.902843652E0,1.959000000E3
5.942843652E0,1.967000000E3
5.982843652E0,1.975000000E3
6.022844652E0,1.985000000E3
6.062843652E0,1.991000000E3
6.102843652E0,1.990000000E3
6.142843652E0,1.984000000E3
6.182843652E0,1.989000000E3
6.222845652E0,1.981000000E3
6.262843652E0,1.985000000E3
6.342843652E0,1.983000000E3
6.382844652E0,1.981000000E3
6.422843652E0,1.957000000E3
6.462844652E0,1.954000000E3
6.502843652E0,1.966000000E3
6.542844652E0,1.973000000E3
6.582845652E0,1.979000000E3
6.622824652E0,1.969000000E3
6.662818652E0,1.972000000E3
6.702824652E0,2.008000000E3
6.742845652E0,2.020000000E3
6.782844652E0,2.025000000E3
6.822824652E0,2.033000000E3
6.862844652E0,2.038000000E3
6.902844652E0,2.054000000E3
6.942844652E0,2.070000000E3
6.982844652E0,2.063000000E3
7.022845652E0,2.040000000E3
7.062844652E0,2.036000000E3
7.102844652E0,2.014000000E3
7.142845652E0,1.999000000E3
7.182844652E0,2.001000000E3
7.222844652E0,2.016000000E3
7.262844652E0,2.011000000E3
7.302844652E0,2.025000000E3
7.342844652E0,2.023000000E3
7.382843652E0,2.012000000E3
7.422844652E0,2.000000000E3
7.462843652E0,1.993000000E3
7.502844652E0,2.001000000E3
7.542843652E0,2.013000000E3
7.582844652E0,2.043000000E3
7.622823652E0,2.046000000E3
7.662817652E0,2.062000000E3
7.702823652E0,2.101000000E3
7.742862652E0,2.100000000E3
7.782843652E0,2.116000000E3
7.822843652E0,2.133000000E3
7.862844652E0,2.111000000E3
7.902843652E0,2.091000000E3
7.942843652E0,2.083000000E3
7.982843652E0,2.064000000E3
8.022843652E0,2.055000000E3
8.062843652E0,2.034000000E3
8.102843652E0,2.017000000E3
8.142843652E0,2.007000000E3
8.182843652E0,1.989000000E3
8.222845652E0,1.968000000E3
8.262843652E0,1.943000000E3
8.302844652E0,1.941000000E3
8.342843652E0,1.915000000E3
8.382844652E0,1.903000000E3
8.422843652E0,1.907000000E3
8.502843652E0,1.914000000E3
8.542843652E0,1.924000000E3
8.582845652E0,1.928000000E3
8.622823652E0,1.933000000E3
8.662818652E0,1.912000000E3
8.702843652E0,1.911000000E3
8.742844652E0,1.931000000E3
8.782843652E0,1.927000000E3
8.822844652E0,1.937000000E3
8.862845652E0,1.939000000E3
8.902844652E0,1.932000000E3
8.942844652E0,1.926000000E3
8.982844652E0,1.913000000E3
9.022844652E0,1.881000000E3
9.062844652E0,1.879000000E3
9.142844652E0,1.857000000E3
9.182844652E0,1.852000000E3
9.222844652E0,1.842000000E3
9.262844652E0,1.819000000E3
9.302843652E0,1.814000000E3
9.342844652E0,1.812000000E3
9.382843652E0,1.813000000E3
9.422844652E0,1.805000000E3
9.462843652E0,1.823000000E3
9.502844652E0,1.831000000E3
9.542843652E0,1.836000000E3
9.582844652E0,1.841000000E3
9.622823652E0,1.846000000E3
9.662817652E0,1.851000000E3
9.702823652E0,1.856000000E3
9.742843652E0,1.868000000E3
9.782843652E0,1.881000000E3
9.822843652E0,1.895000000E3
9.862844652E0,1.898000000E3
9.902843652E0,1.899000000E3
9.942843652E0,1.914000000E3
9.982843652E0,1.921000000E3
1.002284365E1,1.935000000E3
1.006284365E1,1.944000000E3
1.010284365E1,1.939000000E3
1.014284365E1,1.927000000E3
1.022284465E1,1.920000000E3
1.026284365E1,1.917000000E3
1.030284365E1,1.888000000E3
1.034284365E1,1.877000000E3
1.038284365E1,1.871000000E3
1.042284465E1,1.832000000E3
1.046284365E1,1.819000000E3
1.050284365E1,1.810000000E3
1.054284365E1,1.799000000E3
1.058284565E1,1.797000000E3
1.062282365E1,1.802000000E3
1.066284465E1,1.810000000E3
1.070284565E1,1.821000000E3
1.074284365E1,1.814000000E3
1.078284365E1,1.798000000E3
1.082282365E1,1.799000000E3
1.086284565E1,1.812000000E3
1.090284365E1,1.826000000E3
1.094284465E1,1.844000000E3
1.098284365E1,1.901000000E3
1.102284465E1,1.922000000E3
1.106284365E1,1.958000000E3
1.110284465E1,2.030000000E3
1.114284365E1,2.051000000E3
1.118284465E1,2.073000000E3
1.122284565E1,2.093000000E3
1.126284465E1,2.120000000E3
1.130284465E1,2.157000000E3
1.134284465E1,2.189000000E3
1.138284465E1,2.243000000E3
1.142284465E1,2.255000000E3
1.146284565E1,2.259000000E3
1.150284465E1,2.271000000E3
1.154284465E1,2.287000000E3
1.158284465E1,2.279000000E3
1.162282465E1,2.271000000E3
1.166281765E1,2.232000000E3
1.170282465E1,2.231000000E3
1.174283665E1,2.227000000E3
1.178284465E1,2.207000000E3
1.182283365E1,2.213000000E3
1.186284465E1,2.208000000E3
1.190284465E1,2.201000000E3
1.194284365E1,2.216000000E3
1.198284465E1,2.226000000E3
1.202284365E1,2.227000000E3
1.206284465E1,2.245000000E3
1.210284365E1,2.253000000E3
1.214284465E1,2.262000000E3
1.222284465E1,2.261000000E3
1.226284365E1,2.273000000E3
1.230284365E1,2.289000000E3
1.234284365E1,2.298000000E3
1.242284365E1,2.315000000E3
1.246284365E1,2.307000000E3
1.250284365E1,2.314000000E3
1.254284365E1,2.348000000E3
1.258284465E1,2.369000000E3
1.262282365E1,2.431000000E3
1.266282365E1,2.525000000E3
1.270283365E1,2.559000000E3
1.274284465E1,2.601000000E3
1.278284365E1,2.622000000E3
1.282284365E1,2.644000000E3
1.286284465E1,2.643000000E3
1.290284365E1,2.645000000E3
1.298284365E1,2.654000000E3
1.302284365E1,2.773000000E3
1.306284365E1,2.787000000E3
1.310284365E1,2.690000000E3
1.314284465E1,2.667000000E3
1.322284465E1,2.675000000E3
1.326284365E1,2.673000000E3
1.330284365E1,2.681000000E3
1.334284365E1,2.683000000E3
1.338284365E1,2.663000000E3
1.342284365E1,2.665000000E3
1.346284365E1,2.672000000E3
1.350284465E1,2.684000000E3
1.354284365E1,2.683000000E3
1.358284465E1,2.674000000E3
1.362282365E1,2.671000000E3
1.366281765E1,2.672000000E3
1.370284365E1,2.674000000E3
1.374284465E1,2.691000000E3
1.378284465E1,2.711000000E3
1.382284365E1,2.723000000E3
1.386284465E1,2.727000000E3
1.390284365E1,2.697000000E3
1.394284365E1,2.674000000E3
1.398284365E1,2.691000000E3
1.402284365E1,2.694000000E3
1.406284365E1,2.675000000E3
1.410284365E1,2.712000000E3
1.414284365E1,2.728000000E3
1.418284365E1,2.743000000E3
1.426284365E1,2.734000000E3
1.430284365E1,2.710000000E3
1.438284365E1,2.689000000E3
1.442284465E1,2.699000000E3
1.446284365E1,2.734000000E3
1.450284465E1,2.698000000E3
1.454284365E1,2.689000000E3
1.458284465E1,2.730000000E3
1.462282365E1,2.735000000E3
1.466282365E1,2.723000000E3
1.470282465E1,2.726000000E3
1.474284365E1,2.731000000E3
1.478284365E1,2.705000000E3
1.482284365E1,2.708000000E3
1.490284365E1,2.700000000E3
1.494284365E1,2.711000000E3
1.498284365E1,2.700000000E3
1.502284365E1,2.708000000E3
1.506284365E1,2.723000000E3
1.510284365E1,2.676000000E3
1.514284365E1,2.610000000E3
1.518284465E1,2.563000000E3
1.522284465E1,2.565000000E3
1.526284365E1,2.590000000E3
1.530284365E1,2.598000000E3
1.534284365E1,2.633000000E3
1.538284365E1,2.642000000E3
1.542284465E1,2.638000000E3
1.550284365E1,2.626000000E3
1.554284365E1,2.612000000E3
1.558284465E1,2.623000000E3
1.562282765E1,2.621000000E3
1.566281765E1,2.476000000E3
1.570282365E1,2.403000000E3
1.574284365E1,2.309000000E3
1.578284365E1,2.244000000E3
1.582284365E1,2.063000000E3
1.586284465E1,2.020000000E3
1.590284365E1,2.023000000E3
1.594284365E1,2.005000000E3
1.598284365E1,2.002000000E3
1.602284365E1,2.010000000E3
1.606284365E1,2.001000000E3
1.610284365E1,1.977000000E3
1.614284365E1,1.965000000E3
1.618284365E1,1.953000000E3
1.622284465E1,1.946000000E3
1.626284365E1,1.930000000E3
1.630284465E1,1.931000000E3
1.634284365E1,1.967000000E3
1.638284365E1,2.004000000E3
1.642284465E1,2.062000000E3
1.646284365E1,2.057000000E3
1.650284365E1,2.018000000E3
1.654284365E1,2.012000000E3
1.658284465E1,2.003000000E3
1.662282365E1,2.002000000E3
1.666281765E1,2.018000000E3
1.670284365E1,2.055000000E3
1.674284465E1,2.082000000E3
