"Time (s)","Illuminance (lx)"
5.463893500E-2,3.863000000E3
9.663893500E-2,3.909000000E3
1.766389350E-1,3.944000000E3
2.166389350E-1,4.037000000E3
2.966389350E-1,3.956000000E3
3.766389350E-1,3.944000000E3
4.166389350E-1,3.839000000E3
4.566389350E-1,3.665000000E3
4.966389350E-1,4.282000000E3
5.366389350E-1,4.782000000E3
5.766389350E-1,4.130000000E3
6.166389350E-1,3.863000000E3
6.566389350E-1,4.154000000E3
6.966239350E-1,3.188000000E3
7.366239350E-1,2.874000000E3
7.766389350E-1,1.742000000E3
8.166379350E-1,1.467000000E3
8.566389350E-1,1.598000000E3
8.966379350E-1,2.344000000E3
9.372550770E-1,2.978000000E3
9.772340770E-1,3.549000000E3
1.017284077E0,3.537000000E3
1.141242423E0,2.244000000E3
1.181902697E0,2.246000000E3
1.221903697E0,2.262000000E3
1.261902697E0,2.271000000E3
1.301902697E0,2.274000000E3
1.341902697E0,2.281000000E3
1.381902697E0,2.298000000E3
1.421902697E0,2.304000000E3
1.461902697E0,2.320000000E3
1.501902697E0,2.317000000E3
1.541902697E0,2.312000000E3
1.581902697E0,2.324000000E3
1.621882697E0,2.321000000E3
1.661875697E0,2.320000000E3
1.701903697E0,2.336000000E3
1.741901697E0,2.318000000E3
1.781902697E0,2.305000000E3
1.821901697E0,2.310000000E3
1.861902697E0,2.293000000E3
1.901901697E0,2.300000000E3
1.941901697E0,2.313000000E3
1.981901697E0,2.294000000E3
2.021901697E0,2.283000000E3
2.061901697E0,2.301000000E3
2.101901697E0,2.303000000E3
2.141901697E0,2.294000000E3
2.181901697E0,2.295000000E3
2.221902697E0,2.301000000E3
2.261901697E0,2.318000000E3
2.301901697E0,2.310000000E3
2.341901697E0,2.290000000E3
2.381901697E0,2.301000000E3
2.421901697E0,2.298000000E3
2.461901697E0,2.305000000E3
2.501701004E0,2.312000000E3
2.581702004E0,2.310000000E3
2.621690004E0,2.319000000E3
2.661675004E0,2.349000000E3
2.701681004E0,2.359000000E3
2.741701004E0,2.366000000E3
2.781701004E0,2.378000000E3
2.821701004E0,2.408000000E3
2.861702004E0,2.427000000E3
2.901701004E0,2.421000000E3
2.941701004E0,2.435000000E3
2.981701004E0,2.450000000E3
3.021701004E0,2.502000000E3
3.061701004E0,2.607000000E3
3.101701004E0,2.623000000E3
3.141701004E0,2.576000000E3
3.182843652E0,2.563000000E3
3.222844652E0,2.593000000E3
3.262843652E0,2.595000000E3
3.302843652E0,2.533000000E3
3.342843652E0,2.413000000E3
3.382843652E0,2.368000000E3
3.422844652E0,2.310000000E3
3.462843652E0,2.267000000E3
3.502843652E0,2.144000000E3
3.542843652E0,2.056000000E3
3.582845652E0,2.033000000E3
3.622823652E0,1.967000000E3
3.662845652E0,1.916000000E3
