"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.953389350E-1,-1.232399979E2,-1.740000010E0,5.777999878E1
2.053389350E-1,-1.228199997E2,-1.500000000E0,5.777999878E1
2.153389350E-1,-1.228199997E2,-1.439999938E0,5.837999725E1
2.253389350E-1,-1.223999939E2,-1.679999948E0,5.843999863E1
2.353389350E-1,-1.220999985E2,-1.799999952E0,5.850000000E1
2.453389350E-1,-1.222799988E2,-1.979999900E0,5.909999847E1
2.553389350E-1,-1.223999939E2,-1.860000014E0,5.850000000E1
2.653389350E-1,-1.221599960E2,-1.860000014E0,5.868000031E1
2.753389350E-1,-1.220400009E2,-1.740000010E0,5.879999924E1
2.853389350E-1,-1.216199951E2,-8.999999762E-1,5.879999924E1
2.953389350E-1,-1.217399979E2,-1.259999990E0,5.939999771E1
3.053389350E-1,-1.224599991E2,-1.559999943E0,5.879999924E1
3.153389350E-1,-1.226399994E2,-1.259999990E0,5.855999756E1
3.253389350E-1,-1.229399948E2,-1.740000010E0,5.825999832E1
3.353389350E-1,-1.227599945E2,-1.500000000E0,5.747999954E1
3.453389350E-1,-1.220400009E2,-1.319999933E0,5.807999802E1
3.553389350E-1,-1.220999985E2,-1.079999924E0,5.885999680E1
3.653389350E-1,-1.223399963E2,-1.379999995E0,5.921999741E1
3.753389350E-1,-1.222199936E2,-1.139999986E0,5.952000046E1
3.853389350E-1,-1.231800003E2,-7.799999714E-1,5.963999939E1
3.953389350E-1,-1.235400009E2,-7.799999714E-1,5.939999771E1
4.053389350E-1,-1.233600006E2,-1.799999923E-1,5.915999985E1
4.153389350E-1,-1.232399979E2,-1.199999973E-1,5.945999908E1
4.253389350E-1,-1.225799942E2,2.399999946E-1,5.927999878E1
4.353389350E-1,-1.218600006E2,-1.199999973E-1,5.939999771E1
4.453389350E-1,-1.216199951E2,-2.999999821E-1,5.945999908E1
4.553389350E-1,-1.213799973E2,-1.799999923E-1,5.909999847E1
4.653389350E-1,-1.210799942E2,-3.599999845E-1,5.831999969E1
4.753389350E-1,-1.205999985E2,1.799999923E-1,5.771999741E1
4.853389350E-1,-1.198199997E2,2.999999821E-1,5.718000031E1
4.953389350E-1,-1.190400009E2,1.199999973E-1,5.718000031E1
5.053389350E-1,-1.181999969E2,-1.799999923E-1,5.747999954E1
5.153389350E-1,-1.178399963E2,-6.599999666E-1,5.789999771E1
5.253389350E-1,-1.174199982E2,-1.139999986E0,5.868000031E1
5.353389350E-1,-1.172399979E2,-1.019999981E0,5.975999832E1
5.453389680E-1,-1.171800003E2,-1.500000000E0,6.131999969E1
5.553389680E-1,-1.163399963E2,-1.799999952E0,6.341999817E1
5.653389680E-1,-1.162799988E2,-2.339999914E0,6.486000061E1
5.753389680E-1,-1.156199951E2,-2.339999914E0,6.672000122E1
5.853389680E-1,-1.154399948E2,-2.220000029E0,6.851999664E1
5.953389680E-1,-1.152599945E2,-2.159999847E0,7.019999695E1
6.053389680E-1,-1.154399948E2,-1.319999933E0,7.229999542E1
6.153389680E-1,-1.154399948E2,-7.799999714E-1,7.422000122E1
6.253389680E-1,-1.155000000E2,1.199999973E-1,7.668000031E1
6.353389680E-1,-1.153199997E2,7.799999714E-1,7.961999512E1
6.453389680E-1,-1.146599960E2,1.259999990E0,8.268000031E1
6.553389680E-1,-1.147799988E2,1.620000005E0,8.622000122E1
6.653389680E-1,-1.140599976E2,2.759999990E0,8.940000153E1
6.753382680E-1,-1.140000000E2,4.199999809E0,9.251999664E1
6.853374010E-1,-1.138799973E2,6.239999771E0,9.509999847E1
6.953369010E-1,-1.144799957E2,9.059999466E0,9.755999756E1
7.053364010E-1,-1.155000000E2,1.205999947E1,9.947999573E1
7.153359010E-1,-1.174799957E2,1.559999943E1,1.004399948E2
7.253354340E-1,-1.194599991E2,1.955999947E1,1.013399963E2
7.353349340E-1,-1.215599976E2,2.321999931E1,1.012200012E2
7.453349000E-1,-1.245000000E2,2.711999893E1,1.006199951E2
7.553348660E-1,-1.264199982E2,3.113999939E1,9.954000092E1
7.653348990E-1,-1.282799988E2,3.504000092E1,9.827999878E1
7.753348990E-1,-1.294799957E2,3.911999893E1,9.725999451E1
7.853348650E-1,-1.304400024E2,4.289999771E1,9.533999634E1
7.953348980E-1,-1.315200043E2,4.637999725E1,9.336000061E1
8.053348980E-1,-1.325399933E2,4.913999939E1,9.227999878E1
8.153348640E-1,-1.333199921E2,5.207999802E1,9.023999786E1
8.253348300E-1,-1.335599976E2,5.436000061E1,8.819999695E1
8.353347960E-1,-1.337399902E2,5.700000000E1,8.651999664E1
8.453347620E-1,-1.337399902E2,5.975999832E1,8.369999695E1
8.553347620E-1,-1.330800018E2,6.257999802E1,8.123999786E1
8.653347280E-1,-1.323000031E2,6.558000183E1,7.925999451E1
8.753347280E-1,-1.310999908E2,6.858000183E1,7.715999603E1
8.853347280E-1,-1.297799988E2,7.163999939E1,7.511999512E1
8.953346940E-1,-1.293000031E2,7.433999634E1,7.272000122E1
9.053346940E-1,-1.277399979E2,7.709999847E1,7.050000000E1
9.153346600E-1,-1.264799957E2,8.004000092E1,6.815999603E1
9.253346600E-1,-1.248600006E2,8.261999512E1,6.641999817E1
9.353346600E-1,-1.220400009E2,8.459999847E1,6.479999542E1
9.453346260E-1,-1.205999985E2,8.597999573E1,6.318000031E1
9.553346260E-1,-1.181399994E2,8.645999908E1,6.245999908E1
9.653346260E-1,-1.151999969E2,8.591999817E1,6.047999954E1
9.753346260E-1,-1.115400009E2,8.381999969E1,6.011999893E1
9.853354920E-1,-1.076399994E2,8.093999481E1,6.300000000E1
9.953352920E-1,-1.065599976E2,7.979999542E1,6.726000214E1
1.005335125E0,-1.080000000E2,8.027999878E1,7.097999573E1
1.015336591E0,-1.111199951E2,8.322000122E1,7.133999634E1
1.025336357E0,-1.142999954E2,8.711999512E1,6.641999817E1
1.035336857E0,-1.166399994E2,8.975999451E1,5.850000000E1
1.045336223E0,-1.197599945E2,8.981999969E1,5.423999786E1
1.280941423E0,-8.022000122E1,-2.752200012E2,1.406399994E2
1.290941423E0,-8.058000183E1,-2.750400085E2,1.405800018E2
1.300942423E0,-8.123999786E1,-2.745599976E2,1.410000000E2
1.310942923E0,-8.177999878E1,-2.744400024E2,1.405800018E2
1.320942923E0,-8.172000122E1,-2.742599792E2,1.406999969E2
1.330943423E0,-8.165999603E1,-2.744400024E2,1.403999939E2
1.340943623E0,-8.129999542E1,-2.747399902E2,1.402200012E2
1.350943623E0,-8.081999969E1,-2.746799927E2,1.403999939E2
1.360943765E0,-8.165999603E1,-2.748599854E2,1.396799927E2
1.370943765E0,-8.172000122E1,-2.747399902E2,1.398000031E2
1.380943876E0,-8.208000183E1,-2.741399841E2,1.393799896E2
1.390943976E0,-8.225999451E1,-2.741399841E2,1.393799896E2
1.400943976E0,-8.154000092E1,-2.735400085E2,1.396799927E2
1.410944059E0,-8.123999786E1,-2.732999878E2,1.396199951E2
1.420944135E0,-8.147999573E1,-2.738999939E2,1.399799957E2
1.430944206E0,-8.147999573E1,-2.738399963E2,1.402200012E2
1.440944206E0,-8.172000122E1,-2.741399841E2,1.403999939E2
1.450944206E0,-8.118000031E1,-2.745000000E2,1.403999939E2
1.460944264E0,-8.081999969E1,-2.740199890E2,1.403999939E2
1.470944319E0,-8.093999481E1,-2.743200073E2,1.405800018E2
