"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749198700202430E9,"2025-06-06 10:31:40.202 UTC+02:00"
"PAUSE",9.000262562916614E2,1.749199600228212E9,"2025-06-06 10:46:40.228 UTC+02:00"
