"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749215693787234E9,"2025-06-06 15:14:53.787 UTC+02:00"
"PAUSE",9.000080026666401E2,1.749216593795414E9,"2025-06-06 15:29:53.795 UTC+02:00"
