"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.976725030E-1,1.343999958E1,-1.973999977E1,-5.459999847E1
2.076725030E-1,1.379999924E1,-1.955999947E1,-5.405999756E1
2.176725030E-1,1.338000011E1,-1.913999939E1,-5.429999924E1
2.276725030E-1,1.296000004E1,-1.853999901E1,-5.441999817E1
2.376725030E-1,1.277999973E1,-1.877999878E1,-5.393999863E1
2.476725030E-1,1.265999985E1,-1.835999870E1,-5.447999954E1
2.576725030E-1,1.343999958E1,-1.805999947E1,-5.418000031E1
2.676725030E-1,1.373999977E1,-1.847999954E1,-5.381999969E1
2.776725030E-1,1.427999973E1,-1.860000038E1,-5.418000031E1
2.876725030E-1,1.397999954E1,-1.860000038E1,-5.453999710E1
2.976725030E-1,1.361999989E1,-1.895999908E1,-5.471999741E1
3.076725030E-1,1.361999989E1,-1.877999878E1,-5.441999817E1
3.176725030E-1,1.355999947E1,-1.877999878E1,-5.453999710E1
3.276725030E-1,1.385999966E1,-1.895999908E1,-5.363999939E1
3.376725030E-1,1.403999996E1,-1.902000046E1,-5.345999908E1
3.476725030E-1,1.403999996E1,-1.919999886E1,-5.405999756E1
3.576725030E-1,1.403999996E1,-1.884000015E1,-5.387999725E1
3.676725030E-1,1.385999966E1,-1.902000046E1,-5.387999725E1
3.776725030E-1,1.379999924E1,-1.877999878E1,-5.447999954E1
3.876725030E-1,1.331999969E1,-1.835999870E1,-5.411999893E1
3.976725030E-1,1.338000011E1,-1.835999870E1,-5.357999802E1
4.076725030E-1,1.343999958E1,-1.884000015E1,-5.393999863E1
4.176725030E-1,1.350000000E1,-1.884000015E1,-5.369999695E1
4.276725030E-1,1.350000000E1,-1.907999992E1,-5.393999863E1
4.376725030E-1,1.338000011E1,-1.871999931E1,-5.477999878E1
4.476725030E-1,1.319999981E1,-1.800000000E1,-5.495999908E1
4.576725030E-1,1.301999950E1,-1.776000023E1,-5.465999985E1
4.676725030E-1,1.331999969E1,-1.769999886E1,-5.502000046E1
4.776725030E-1,1.331999969E1,-1.781999969E1,-5.519999695E1
4.876725030E-1,1.355999947E1,-1.739999962E1,-5.519999695E1
4.976725030E-1,1.361999989E1,-1.727999878E1,-5.537999725E1
5.076725030E-1,1.350000000E1,-1.619999886E1,-5.537999725E1
5.176725030E-1,1.313999939E1,-1.547999954E1,-5.519999695E1
5.276725030E-1,1.242000008E1,-1.481999969E1,-5.550000000E1
5.376725030E-1,1.181999969E1,-1.421999931E1,-5.543999863E1
5.476725030E-1,1.163999939E1,-1.397999954E1,-5.531999969E1
5.576725030E-1,1.188000011E1,-1.277999973E1,-5.465999985E1
5.676725030E-1,1.200000000E1,-1.200000000E1,-5.465999985E1
5.776725030E-1,1.169999981E1,-1.050000000E1,-5.502000046E1
5.876725030E-1,1.080000019E1,-9.359999657E0,-5.484000015E1
5.976725030E-1,9.779999733E0,-8.279999733E0,-5.537999725E1
6.076725030E-1,8.699999809E0,-6.539999962E0,-5.513999939E1
6.176725030E-1,7.799999714E0,-5.219999790E0,-5.489999771E1
6.276725030E-1,6.779999733E0,-3.720000029E0,-5.507999802E1
6.376718030E-1,5.339999676E0,-2.399999857E0,-5.513999939E1
6.476713360E-1,4.139999866E0,-1.079999924E0,-5.525999832E1
6.576708360E-1,2.519999981E0,-1.199999973E-1,-5.484000015E1
6.676703360E-1,1.620000005E0,7.799999714E-1,-5.393999863E1
6.776698360E-1,6.599999666E-1,1.679999948E0,-5.286000061E1
6.876693690E-1,1.799999923E-1,2.339999914E0,-5.177999878E1
6.976694020E-1,0.000000000E0,3.480000019E0,-5.153999710E1
7.076694020E-1,-2.399999946E-1,4.319999695E0,-5.207999802E1
7.176694350E-1,-2.399999946E-1,5.699999809E0,-5.261999893E1
7.276694350E-1,5.999999866E-2,6.480000019E0,-5.334000015E1
7.376694010E-1,1.079999924E0,7.500000000E0,-5.393999863E1
7.476693670E-1,1.860000014E0,8.399999619E0,-5.375999832E1
7.576693330E-1,2.700000048E0,8.340000153E0,-5.345999908E1
7.676693330E-1,3.359999895E0,8.340000153E0,-5.363999939E1
7.776693330E-1,3.179999828E0,8.819999695E0,-5.327999878E1
7.876692990E-1,3.119999886E0,9.179999352E0,-5.327999878E1
7.976693320E-1,2.339999914E0,1.007999992E1,-5.303999710E1
8.076693320E-1,1.559999943E0,1.050000000E1,-5.231999969E1
8.176692980E-1,1.259999990E0,9.840000153E0,-5.189999771E1
8.276692980E-1,1.079999924E0,9.239999771E0,-5.165999985E1
8.376692640E-1,2.039999962E0,8.579999924E0,-5.189999771E1
8.476692640E-1,3.599999905E0,7.919999599E0,-5.243999863E1
8.576692640E-1,5.339999676E0,7.619999886E0,-5.286000061E1
8.676692300E-1,6.779999733E0,7.440000057E0,-5.345999908E1
8.776691960E-1,7.980000019E0,6.839999676E0,-5.352000046E1
8.876691620E-1,7.980000019E0,6.899999619E0,-5.411999893E1
8.976684950E-1,7.919999599E0,6.239999771E0,-5.418000031E1
9.076684610E-1,7.980000019E0,5.819999695E0,-5.381999969E1
9.176684270E-1,8.460000038E0,5.099999905E0,-5.453999710E1
9.276684270E-1,9.179999352E0,4.139999866E0,-5.405999756E1
9.376684270E-1,9.359999657E0,2.399999857E0,-5.447999954E1
9.476681930E-1,9.359999657E0,1.500000000E0,-5.465999985E1
9.576679930E-1,8.460000038E0,6.599999666E-1,-5.489999771E1
9.676678260E-1,7.859999657E0,5.999999866E-2,-5.495999908E1
9.776676590E-1,7.559999943E0,-5.999999866E-2,-5.411999893E1
9.876672250E-1,7.799999714E0,-1.019999981E0,-5.459999847E1
9.976669250E-1,7.919999599E0,-2.099999905E0,-5.381999969E1
1.007666925E0,8.220000267E0,-3.179999828E0,-5.363999939E1
1.017666891E0,8.220000267E0,-3.779999971E0,-5.453999710E1
1.027666857E0,8.220000267E0,-4.199999809E0,-5.459999847E1
1.037666857E0,8.399999619E0,-4.440000057E0,-5.489999771E1
1.047666890E0,8.340000153E0,-5.159999847E0,-5.513999939E1
1.057666923E0,8.399999619E0,-5.759999752E0,-5.484000015E1
1.067666889E0,8.340000153E0,-6.179999828E0,-5.477999878E1
1.077666922E0,8.159999847E0,-7.379999638E0,-5.484000015E1
1.087666588E0,8.099999428E0,-7.980000019E0,-5.471999741E1
1.097665854E0,7.619999886E0,-9.059999466E0,-5.471999741E1
1.107665454E0,6.839999676E0,-1.061999989E1,-5.453999710E1
1.117664587E0,6.119999886E0,-1.103999996E1,-5.429999924E1
1.127664587E0,5.099999905E0,-1.223999977E1,-5.436000061E1
1.137663953E0,4.859999657E0,-1.313999939E1,-5.471999741E1
1.147663253E0,4.559999943E0,-1.392000008E1,-5.453999710E1
1.157662953E0,4.739999771E0,-1.500000000E1,-5.465999985E1
1.167662986E0,4.859999657E0,-1.571999931E1,-5.441999817E1
1.177662619E0,4.739999771E0,-1.644000053E1,-5.423999786E1
1.187662252E0,4.679999828E0,-1.619999886E1,-5.447999954E1
1.197662218E0,4.440000057E0,-1.650000000E1,-5.411999893E1
1.207661584E0,4.079999924E0,-1.607999992E1,-5.369999695E1
1.217661617E0,4.019999981E0,-1.607999992E1,-5.327999878E1
1.227661583E0,4.199999809E0,-1.673999977E1,-5.303999710E1
1.237662249E0,4.079999924E0,-1.721999931E1,-5.291999817E1
1.247662915E0,4.559999943E0,-1.769999886E1,-5.369999695E1
1.257663615E0,4.679999828E0,-1.763999939E1,-5.418000031E1
1.267664248E0,4.739999771E0,-1.685999870E1,-5.411999893E1
1.277664881E0,4.980000019E0,-1.673999977E1,-5.436000061E1
1.287665781E0,4.679999828E0,-1.685999870E1,-5.405999756E1
1.297666347E0,4.380000114E0,-1.745999908E1,-5.387999725E1
1.307666313E0,3.959999800E0,-1.781999969E1,-5.423999786E1
1.317666279E0,3.659999847E0,-1.776000023E1,-5.436000061E1
1.327666345E0,3.240000010E0,-1.769999886E1,-5.387999725E1
1.337666411E0,3.240000010E0,-1.727999878E1,-5.309999847E1
1.347666377E0,3.240000010E0,-1.763999939E1,-5.268000031E1
1.357666410E0,3.299999952E0,-1.776000023E1,-5.268000031E1
1.367666443E0,3.720000029E0,-1.776000023E1,-5.297999954E1
1.377666376E0,3.720000029E0,-1.847999954E1,-5.375999832E1
1.387666742E0,4.019999981E0,-1.842000008E1,-5.387999725E1
1.397667408E0,3.359999895E0,-1.847999954E1,-5.345999908E1
1.407667141E0,3.179999828E0,-1.884000015E1,-5.363999939E1
1.417668074E0,3.119999886E0,-1.860000038E1,-5.321999741E1
1.427668040E0,2.639999866E0,-1.884000015E1,-5.268000031E1
1.437668706E0,3.119999886E0,-1.931999969E1,-5.291999817E1
1.447669406E0,2.879999876E0,-1.973999977E1,-5.250000000E1
1.457669672E0,2.579999924E0,-1.985999870E1,-5.202000046E1
1.467669672E0,2.579999924E0,-2.034000015E1,-5.243999863E1
1.477670038E0,2.039999962E0,-2.015999985E1,-5.219999695E1
1.487670438E0,1.679999948E0,-1.992000008E1,-5.243999863E1
1.497671171E0,1.559999943E0,-1.979999924E1,-5.297999954E1
1.507671804E0,1.079999924E0,-1.997999954E1,-5.255999756E1
1.517671804E0,1.379999995E0,-2.039999962E1,-5.273999786E1
1.527671837E0,1.259999990E0,-2.100000000E1,-5.273999786E1
1.537671837E0,8.999999762E-1,-2.100000000E1,-5.273999786E1
1.547671837E0,8.999999762E-1,-2.081999969E1,-5.303999710E1
1.557671803E0,4.199999869E-1,-2.027999878E1,-5.273999786E1
1.567671836E0,9.599999785E-1,-1.979999924E1,-5.231999969E1
1.577671869E0,1.139999986E0,-1.968000031E1,-5.213999939E1
1.587671835E0,1.199999928E0,-1.979999924E1,-5.159999847E1
1.597671535E0,1.139999986E0,-2.003999901E1,-5.177999878E1
1.607670868E0,5.999999642E-1,-2.034000015E1,-5.184000015E1
1.617670868E0,4.199999869E-1,-2.069999886E1,-5.195999908E1
1.627670801E0,5.999999642E-1,-2.081999969E1,-5.291999817E1
1.637670734E0,4.799999893E-1,-2.069999886E1,-5.297999954E1
1.647670767E0,9.599999785E-1,-2.021999931E1,-5.357999802E1
1.657670700E0,1.319999933E0,-2.021999931E1,-5.345999908E1
1.667670666E0,1.679999948E0,-2.027999878E1,-5.279999924E1
1.677670699E0,2.099999905E0,-2.021999931E1,-5.286000061E1
1.687670665E0,2.039999962E0,-2.027999878E1,-5.225999832E1
1.697670698E0,2.039999962E0,-1.985999870E1,-5.243999863E1
1.707671364E0,1.740000010E0,-1.937999916E1,-5.279999924E1
1.717671364E0,1.559999943E0,-1.919999886E1,-5.291999817E1
1.727671397E0,1.439999938E0,-1.968000031E1,-5.334000015E1
1.737671363E0,1.019999981E0,-1.943999863E1,-5.303999710E1
