"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.767150300E-2,1.500437707E-1,6.299547851E-2,4.329507425E-2
2.967250300E-2,1.500437707E-1,6.299547851E-2,4.329507425E-2
3.966050300E-2,1.500437707E-1,6.299547851E-2,4.329507425E-2
4.966050300E-2,1.500437707E-1,6.299547851E-2,4.329507425E-2
5.966050300E-2,1.500437707E-1,6.299547851E-2,4.329507425E-2
6.966050300E-2,1.500437707E-1,6.299547851E-2,4.329507425E-2
7.966050300E-2,1.500437707E-1,6.299547851E-2,4.329507425E-2
8.966050300E-2,-1.578323096E-1,1.656972058E-2,3.413209692E-2
9.966050300E-2,-2.238057554E-1,-3.588833380E-3,2.130392566E-2
1.096578780E-1,-2.433534414E-1,-2.191479132E-2,2.008219436E-2
1.196577660E-1,-2.415208519E-1,-1.336267684E-2,1.947133057E-2
1.296577660E-1,-2.268600762E-1,2.084577642E-2,1.519527286E-2
1.396577660E-1,-2.036471963E-1,7.399105281E-2,1.824959926E-2
1.496577660E-1,-1.627192348E-1,1.479057521E-1,3.718642145E-2
1.596577660E-1,-1.095739529E-1,1.845576614E-1,5.367978290E-2
1.696577660E-1,-5.093089119E-2,1.845576614E-1,5.123632401E-2
1.796577660E-1,2.825251780E-3,1.466840208E-1,3.107776865E-2
1.896577660E-1,4.864014685E-2,7.643451542E-2,1.153008174E-2
1.996577660E-1,4.925100878E-2,3.672827408E-2,1.519527286E-2
2.096577660E-1,2.481640130E-2,-4.810563754E-3,1.824959926E-2
2.196577660E-1,-1.611157134E-2,-5.245805159E-2,2.367102774E-3
2.296577660E-1,-5.154175684E-2,-8.300131559E-2,-2.634356357E-2
2.396577660E-1,-5.826127157E-2,-8.116871864E-2,-5.383250117E-2
2.496577660E-1,-3.688098863E-2,-5.490151420E-2,-7.032585889E-2
2.596577660E-1,6.490443368E-3,-1.641700417E-2,-7.460191846E-2
2.696577660E-1,6.513350457E-2,3.856086731E-2,-6.421720982E-2
2.796577660E-1,1.537089646E-1,1.228602752E-1,-4.100432992E-2
2.896577660E-1,2.105194330E-1,1.796707362E-1,-1.901318133E-2
2.996577660E-1,2.691625059E-1,1.918880492E-1,2.977967961E-3
3.096577660E-1,3.009274900E-1,1.130864322E-1,6.032294128E-3
3.196577660E-1,2.917645276E-1,-5.490151420E-2,-1.962404512E-2
3.296577660E-1,2.380083650E-1,-2.070069611E-1,-6.910412759E-2
3.396581660E-1,1.359938681E-1,-3.090214431E-1,-1.173624843E-1
3.496581660E-1,-1.450804994E-3,-3.817144334E-1,-1.399645060E-1
3.596581660E-1,-1.559997052E-1,-4.043164253E-1,-1.393536329E-1
3.696581660E-1,-3.734677434E-1,-3.261256814E-1,-1.185842156E-1
3.796581660E-1,-4.895321429E-1,-2.522109747E-1,-1.234711409E-1
3.896581660E-1,-5.640577078E-1,-1.850158125E-1,-1.564578563E-1
3.996581660E-1,-5.909357667E-1,-9.644035250E-2,-2.071596831E-1
4.096588660E-1,-5.964335799E-1,1.298088697E-3,-2.560288906E-1
4.196588990E-1,-6.080399752E-1,7.460191846E-2,-2.877938747E-1
4.296588990E-1,-6.703482270E-1,7.399105281E-2,-2.890156209E-1
4.396588990E-1,-7.851909399E-1,3.550654277E-2,-2.621375620E-1
4.496588990E-1,-9.324094653E-1,7.635815564E-5,-2.169335186E-1
4.596588990E-1,-1.170646906E0,-1.019381359E-1,-1.503492147E-1
4.696588990E-1,-1.312978506E0,-2.235003263E-1,-1.295797974E-1
4.796588990E-1,-1.433929801E0,-3.847687542E-1,-1.295797974E-1
4.896588990E-1,-1.543885589E0,-5.558109879E-1,-1.338558495E-1
4.996588990E-1,-1.656284809E0,-7.128033638E-1,-1.393536329E-1
5.096588990E-1,-1.790064216E0,-8.233699799E-1,-1.631773859E-1
5.196588990E-1,-1.964160800E0,-8.765152693E-1,-2.315942794E-1
5.296588990E-1,-2.186515808E0,-8.985064030E-1,-3.507130146E-1
5.396588990E-1,-2.475455046E0,-9.296605587E-1,-5.125923157E-1
5.496588990E-1,-3.027677298E0,-1.069548726E0,-7.343363762E-1
5.596588990E-1,-3.369150877E0,-1.232038856E0,-7.917577028E-1
5.696588990E-1,-3.668474913E0,-1.643151164E0,-7.520514727E-1
5.796588990E-1,-3.804697752E0,-2.195373297E0,-7.007387877E-1
5.896588990E-1,-3.816915035E0,-2.697504520E0,-6.561456323E-1
5.996588990E-1,-3.783317566E0,-3.137327433E0,-5.669593215E-1
6.096588990E-1,-3.678859472E0,-3.431764603E0,-4.124104083E-1
6.196588990E-1,-3.548745394E0,-3.598530769E0,-1.973858327E-1
6.296588990E-1,-3.352657557E0,-3.806835890E0,1.269836128E-1
6.396581990E-1,-3.067994356E0,-3.943669558E0,6.126214862E-1
6.496577320E-1,-2.496224403E0,-3.225292206E0,1.277242899E0
6.596572320E-1,-2.154750824E0,-2.219807863E0,1.538693190E0
6.696567320E-1,-1.871920228E0,-1.293736219E0,1.820912957E0
6.796562320E-1,-1.630017519E0,-5.283221006E-1,2.214310169E0
6.896557650E-1,-1.394834399E0,7.887797803E-2,2.637639761E0
6.996557980E-1,-1.138270974E0,5.095379949E-1,3.002326250E0
7.096557980E-1,-8.444448709E-1,7.483862638E-1,3.303482771E0
7.196558310E-1,-5.029711723E-1,6.854671836E-1,3.534389973E0
7.296558310E-1,-1.089630872E-1,4.234059751E-1,3.531946421E0
7.396557970E-1,8.468119800E-2,-3.249039650E-1,2.929022551E0
7.496557630E-1,1.708131880E-1,-9.009498954E-1,2.230803490E0
7.596557290E-1,1.372155994E-1,-1.337718487E0,1.402470231E0
7.696557290E-1,3.031418845E-2,-1.594892740E0,5.863542557E-1
7.796557290E-1,-6.131559983E-2,-1.682246566E0,-4.283692688E-2
7.896556950E-1,-1.040761694E-1,-1.634599090E0,-3.635411859E-1
7.996557280E-1,2.825251780E-3,-3.890447915E-1,-3.928627074E-1
8.096557280E-1,4.108832479E-1,9.322566986E-1,-1.888337135E-1
8.196556940E-1,8.934667706E-1,1.859550118E0,1.923462003E-1
8.296556940E-1,1.701030612E0,3.731241226E0,6.792057753E-1
