"Time (s)","Illuminance (lx)"
5.697250300E-2,1.605000000E3
7.897250300E-2,1.629000000E3
1.189715030E-1,1.640000000E3
2.389725030E-1,1.652000000E3
3.589725030E-1,1.663000000E3
4.789725030E-1,1.663000000E3
5.189725030E-1,1.675000000E3
5.589725030E-1,1.698000000E3
5.989725030E-1,1.733000000E3
6.389515030E-1,1.978000000E3
6.789575030E-1,2.327000000E3
7.189735030E-1,3.560000000E3
7.589715030E-1,3.851000000E3
7.989735030E-1,4.130000000E3
8.389715030E-1,4.759000000E3
8.789971920E-1,4.479000000E3
9.189971920E-1,3.246000000E3
9.589771920E-1,2.932000000E3
9.989901920E-1,2.397000000E3
1.038997192E0,2.036000000E3
1.078999192E0,1.931000000E3
1.118971192E0,1.687000000E3
1.158989192E0,1.605000000E3
1.198977192E0,1.547000000E3
1.238997192E0,1.524000000E3
1.358999192E0,1.512000000E3
1.398997192E0,1.489000000E3
1.518998192E0,1.489000000E3
1.638997192E0,1.501000000E3
1.718999192E0,1.489000000E3
1.838998192E0,1.489000000E3
1.958998192E0,1.489000000E3
2.079087076E0,1.489000000E3
2.159086076E0,1.477000000E3
2.279085076E0,1.477000000E3
2.319086076E0,1.489000000E3
2.399086076E0,1.477000000E3
2.479086076E0,1.489000000E3
2.599086076E0,1.489000000E3
2.719866614E0,1.489000000E3
2.799865614E0,1.477000000E3
2.839865614E0,1.489000000E3
2.879865614E0,1.477000000E3
2.959865614E0,1.489000000E3
3.079866614E0,1.489000000E3
3.119839614E0,1.501000000E3
3.159865614E0,1.535000000E3
3.199865614E0,1.547000000E3
3.239865614E0,1.512000000E3
3.279865614E0,1.466000000E3
3.319865614E0,1.442000000E3
3.359865614E0,1.431000000E3
3.479865614E0,1.419000000E3
3.599865614E0,1.419000000E3
3.639865614E0,1.431000000E3
3.759865614E0,1.442000000E3
3.839865614E0,1.454000000E3
3.879864614E0,1.466000000E3
3.999865614E0,1.373000000E3
