"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.476725030E-1,-2.817975283E0,6.320991993E0,7.065588474E0
2.576725030E-1,-2.774879694E0,6.273107529E0,7.142202854E0
2.676725030E-1,-2.784456491E0,6.253953934E0,7.182904243E0
2.776725030E-1,-2.844311714E0,6.270713329E0,7.178115845E0
2.876725030E-1,-2.930502892E0,6.311414719E0,7.125443459E0
2.976725030E-1,-2.980781078E0,6.337751389E0,7.027281284E0
3.076725030E-1,-2.959233284E0,6.325780392E0,6.881235123E0
3.176725030E-1,-2.885013103E0,6.282684326E0,6.687304497E0
3.276725030E-1,-2.810792685E0,6.227617741E0,6.481403351E0
3.376725030E-1,-2.765302896E0,6.203675747E0,6.289866924E0
3.476725030E-1,-2.762908697E0,6.208464146E0,6.141426563E0
3.576725030E-1,-2.810792685E0,6.239588737E0,6.048052788E0
3.676725030E-1,-2.870647907E0,6.282684326E0,6.038475990E0
3.776725030E-1,-2.882618904E0,6.309020519E0,6.155791759E0
3.876725030E-1,-2.858676910E0,6.301837921E0,6.335357189E0
3.976725030E-1,-2.806004286E0,6.263530731E0,6.534075737E0
4.076725030E-1,-2.777273893E0,6.227617741E0,6.677727699E0
4.176725030E-1,-2.827552319E0,6.203675747E0,6.706458092E0
4.276725030E-1,-2.937685490E0,6.189310551E0,6.658574104E0
4.376725030E-1,-3.083731890E0,6.186916351E0,6.569988728E0
4.476725030E-1,-3.210624456E0,6.165368557E0,6.498162746E0
4.576725030E-1,-3.256114244E0,6.115090370E0,6.488585949E0
4.676725030E-1,-3.246537447E0,6.028899193E0,6.548440933E0
4.776725030E-1,-3.232172251E0,5.923554420E0,6.641814709E0
4.876725030E-1,-3.229778051E0,5.839757442E0,6.756736279E0
4.976725030E-1,-3.196259260E0,5.803843975E0,6.833351135E0
5.076725030E-1,-3.086126089E0,5.782296181E0,6.850110531E0
5.176725030E-1,-2.868253708E0,5.729623795E0,6.768707275E0
5.276725030E-1,-2.583343744E0,5.612308025E0,6.596324921E0
5.376725030E-1,-2.327163935E0,5.408801079E0,6.361693382E0
5.476725030E-1,-2.195482969E0,5.183745861E0,6.172551155E0
5.576725030E-1,-2.188300371E0,4.903624535E0,6.079177380E0
5.676725030E-1,-2.138022184E0,4.580107689E0,6.275501728E0
5.776725030E-1,-2.047042370E0,4.182670593E0,6.668150902E0
5.876725030E-1,-2.013523579E0,3.797203779E0,7.096713066E0
5.976725030E-1,-2.054224968E0,3.469198227E0,7.613860607E0
6.076725030E-1,-2.121262789E0,3.241749048E0,8.212410927E0
6.176725030E-1,-2.224213362E0,3.129221678E0,8.916306496E0
6.276725030E-1,-2.485181332E0,3.323152065E0,9.694421768E0
6.376718030E-1,-2.683900118E0,3.560178041E0,1.031930828E1
6.476713360E-1,-2.636016130E0,3.574543238E0,1.062816048E1
6.576708360E-1,-2.422932148E0,3.526659012E0,1.079575443E1
6.676703360E-1,-2.214636564E0,3.404554844E0,1.093701267E1
6.776698360E-1,-2.047042370E0,3.241749048E0,1.114052010E1
6.876693690E-1,-1.872265697E0,3.078943491E0,1.134881496E1
6.976694020E-1,-1.599326730E0,2.839523315E0,1.158344746E1
7.076694020E-1,-1.276109457E0,2.281674147E0,1.182047272E1
7.176694350E-1,-6.871358752E-1,1.462857246E0,1.200961494E1
7.276694350E-1,1.628057212E-1,5.626373887E-1,1.211256599E1
