"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.766050300E-2,1.343984222E1,-1.740797806E1,-1.523726845E1
4.767250300E-2,1.344490719E1,-1.742305565E1,-1.523285103E1
5.767250300E-2,1.344994736E1,-1.743814087E1,-1.522841072E1
6.767250300E-2,1.345499611E1,-1.745321083E1,-1.522393894E1
7.767250300E-2,1.346003723E1,-1.746828079E1,-1.521944046E1
8.767250300E-2,1.346505642E1,-1.748335457E1,-1.521491909E1
9.767250300E-2,1.346602249E1,-1.747020340E1,-1.521686649E1
1.076690030E-1,1.346536446E1,-1.745064735E1,-1.522051048E1
1.176688600E-1,1.346306229E1,-1.742925453E1,-1.522503471E1
1.276688600E-1,1.346154594E1,-1.740799332E1,-1.522919273E1
1.376688600E-1,1.346322823E1,-1.738791466E1,-1.523190784E1
1.476688600E-1,1.346967030E1,-1.737004280E1,-1.523243904E1
1.576688600E-1,1.348255444E1,-1.735652924E1,-1.522980785E1
1.676688600E-1,1.349851036E1,-1.734841728E1,-1.522510719E1
1.776688600E-1,1.351449203E1,-1.734555817E1,-1.521951771E1
1.876688600E-1,1.352735043E1,-1.734723663E1,-1.521435547E1
1.976688600E-1,1.353419781E1,-1.735426140E1,-1.521060562E1
2.076688600E-1,1.353740978E1,-1.736308289E1,-1.520794296E1
2.176688600E-1,1.353682232E1,-1.737112808E1,-1.520685196E1
2.276688600E-1,1.353212738E1,-1.737605286E1,-1.520783710E1
2.376688600E-1,1.352510071E1,-1.737773514E1,-1.521024132E1
2.476688600E-1,6.279475689E-1,4.828459740E0,-1.993567944E0
2.576688600E-1,6.671545506E-1,4.777585506E0,-1.917938709E0
2.676688600E-1,6.571621895E-1,4.751080513E0,-1.876179695E0
2.776688600E-1,6.016483307E-1,4.754275799E0,-1.877055168E0
2.876688600E-1,5.270001888E-1,4.772117615E0,-1.921466827E0
2.976688600E-1,4.930214882E-1,4.769255638E0,-2.008363247E0
3.076688600E-1,5.315759182E-1,4.721778870E0,-2.141613007E0
3.176688600E-1,6.156032085E-1,4.640193939E0,-2.324812889E0
3.276688600E-1,6.849567890E-1,4.548729420E0,-2.525895119E0
3.376688600E-1,7.127637863E-1,4.495619297E0,-2.718794346E0
3.476688600E-1,6.892015934E-1,4.482948780E0,-2.873887539E0
3.576688600E-1,6.571493149E-1,4.479547501E0,-2.885444164E0
3.676688600E-1,5.153331757E-1,4.565091133E0,-3.003391266E0
3.776688600E-1,4.760012627E-1,4.622325420E0,-2.902082920E0
3.876688600E-1,4.793062210E-1,4.657071114E0,-2.737843990E0
3.976688600E-1,5.179262161E-1,4.668664455E0,-2.553182602E0
4.076695600E-1,5.413582325E-1,4.686690331E0,-2.420765877E0
4.176695930E-1,4.952766895E-1,4.718642235E0,-2.399794579E0
4.276695930E-1,3.963239193E-1,4.762079716E0,-2.452833176E0
4.376695930E-1,2.612633705E-1,4.823086739E0,-2.547102451E0
4.476695930E-1,1.413626671E-1,4.874469757E0,-2.626975536E0
4.576695930E-1,9.892344475E-2,4.909083366E0,-2.647037983E0
4.676695930E-1,9.180068970E-2,5.013628006E0,-2.662841320E0
4.776695930E-1,9.717154503E-2,4.939229488E0,-2.529715061E0
4.876695930E-1,6.607270241E-2,4.983952522E0,-2.439748287E0
4.976695930E-1,5.018234253E-2,5.087159634E0,-2.392555237E0
5.076695930E-1,9.617686272E-2,5.215630054E0,-2.408518314E0
5.176695930E-1,2.393968105E-1,5.326637268E0,-2.523788452E0
5.276695930E-1,4.443886280E-1,5.392073631E0,-2.728625298E0
5.376695930E-1,6.179335117E-1,5.396864414E0,-2.992270470E0
5.476695930E-1,6.626636982E-1,5.413556576E0,-3.205537796E0
5.576695930E-1,5.599293709E-1,5.715187550E0,-3.224025726E0
5.676695930E-1,4.961967468E-1,5.448398590E0,-3.130737782E0
5.776695930E-1,4.247064590E-1,5.415287971E0,-2.741497993E0
5.876695930E-1,2.417201996E-1,5.404339790E0,-2.310802460E0
5.976695930E-1,-6.436467171E-2,5.449124813E0,-1.782453060E0
6.076695930E-1,-4.380753040E-1,5.587119579E0,-1.159701347E0
6.176695930E-1,-8.723448515E-1,5.824902534E0,-4.151535034E-1
6.276695930E-1,-1.473689914E0,6.351265907E0,4.220018387E-1
6.376688930E-1,-2.019924879E0,6.896842003E0,1.121690750E0
6.476684260E-1,-2.311767817E0,7.189023018E0,1.517685890E0
6.576679260E-1,-2.343524218E0,7.364909172E0,1.771792412E0
6.676674260E-1,-2.270693302E0,7.427254200E0,1.993573189E0
6.776669260E-1,-2.141232014E0,7.426321030E0,2.271988869E0
6.876664590E-1,-2.092303038E0,7.568103790E0,2.339897156E0
6.976664920E-1,-1.794407487E0,7.525687218E0,2.608633041E0
7.076664920E-1,-1.018930793E0,6.822572708E0,3.132292747E0
7.176665250E-1,-2.140593529E-1,6.064891815E0,3.362773895E0
7.276665250E-1,8.581139445E-1,5.187455177E0,3.492939949E0
7.376664910E-1,2.101470470E0,4.103339672E0,3.350498199E0
7.476664570E-1,3.122473001E0,3.053122044E0,3.020307541E0
7.576664230E-1,3.749636889E0,2.144308567E0,2.598789215E0
7.676664230E-1,3.862612009E0,1.555797100E0,2.172210693E0
7.776664230E-1,3.453973055E0,1.349077940E0,1.813851357E0
7.876663890E-1,2.685988426E0,1.359513521E0,1.903920174E0
7.976664220E-1,2.020083189E0,1.639022350E0,2.089797020E0
8.076664220E-1,1.425045490E0,2.002377510E0,2.379702568E0
8.176663880E-1,1.064255476E0,2.338768721E0,2.758887291E0
8.276663880E-1,1.069685698E0,2.436793327E0,3.176792145E0
8.376663540E-1,1.497372985E0,2.262527943E0,3.683553696E0
8.476663540E-1,1.987246990E0,2.457540512E0,3.940845490E0
8.576663540E-1,2.421383619E0,3.214112520E0,4.142644882E0
8.676663200E-1,2.984059811E0,3.711087465E0,4.138667107E0
