"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.979706275E1,5.235469059E1,4.900709944E0,2.608330172E0,4.593268976E0,2.439019470E2,1.423941859E1,1.008264805E1
4.079706371E1,5.235467262E1,4.900646118E0,2.263535714E0,4.571142538E0,2.429043274E2,1.423945260E1,1.008260000E1
4.179706359E1,5.235464553E1,4.900574784E0,2.321565497E0,5.051544657E0,2.429043274E2,1.423992902E1,1.008192713E1
4.279706490E1,5.235462688E1,4.900509475E0,3.086087193E0,4.948477031E0,2.429043274E2,1.424001018E1,1.008181250E1
4.379706430E1,5.235461232E1,4.900454846E0,3.558838268E0,4.357268067E0,2.429043274E2,1.423770594E1,1.008506632E1
4.479706454E1,5.235459951E1,4.900399991E0,3.737941425E0,3.871631141E0,2.429043274E2,1.423486948E1,1.008906954E1
4.579706585E1,5.235458106E1,4.900318926E0,3.201327197E0,4.562550163E0,2.429043274E2,1.423499518E1,1.008889219E1
4.679706585E1,5.235456755E1,4.900256893E0,1.758194123E0,4.463813934E0,2.429043274E2,1.423702716E1,1.008602454E1
4.779706669E1,5.235455269E1,4.900197913E0,1.764290129E0,4.239259386E0,2.429043274E2,1.423621044E1,1.008717729E1
4.879706681E1,5.235453406E1,4.900137371E0,1.163516468E0,4.198160769E0,2.429043274E2,1.423514050E1,1.008868714E1
4.979706681E1,5.235451767E1,4.900070447E0,6.929480452E-1,4.325115326E0,2.429043274E2,1.423682834E1,1.008630518E1
5.079706645E1,5.235450285E1,4.899994550E0,9.874860998E-1,4.703511873E0,2.429043274E2,1.423660239E1,1.008662410E1
5.179706562E1,5.235448853E1,4.899926972E0,1.346939958E0,4.587523096E0,2.429043274E2,1.423474564E1,1.008924427E1
5.279706562E1,5.235445724E1,4.899856281E0,6.198754814E-1,4.934474821E0,2.429494019E2,1.423510281E1,1.008874032E1
5.379706526E1,5.235442786E1,4.899781854E0,1.099300041E0,5.219134802E0,2.429494019E2,1.423400726E1,1.009028595E1
5.479706502E1,5.235441410E1,4.899721752E0,1.284016835E0,4.470486506E0,2.429494019E2,1.423519891E1,1.008860473E1
5.579706466E1,5.235440272E1,4.899650496E0,1.562457375E0,4.260573349E0,2.429494019E2,1.423630149E1,1.008704879E1
5.679706454E1,5.235439934E1,4.899574479E0,8.228822155E-1,4.391245172E0,2.598669649E2,1.424000017E1,1.008182664E1
5.779706454E1,5.235437824E1,4.899496418E0,8.783287536E-1,4.653359377E0,2.547698085E2,1.424202193E1,1.007897042E1
5.879706359E1,5.235435646E1,4.899420494E0,1.556183971E0,4.960237322E0,2.494613778E2,1.424269054E1,1.007802557E1
5.979706383E1,5.235433232E1,4.899341744E0,2.168466463E0,4.987666875E0,2.471966492E2,4.739349425E0,3.370920359E0
6.079706311E1,5.235432031E1,4.899233356E0,2.564326174E0,5.373064273E0,2.544559816E2,4.738609750E0,3.371960064E0
6.179706240E1,5.235430079E1,4.899152206E0,3.227377743E0,5.084159719E0,2.556025224E2,4.735675721E0,3.376079456E0
6.279706228E1,5.235427747E1,4.899071436E0,3.364022983E0,5.098497491E0,2.520969985E2,4.736292715E0,3.375213823E0
6.379706168E1,5.235425397E1,4.898997921E0,4.144749768E0,5.062476908E0,2.484909064E2,4.736750028E0,3.374572004E0
6.479706073E1,5.235423767E1,4.898925963E0,4.065839072E0,4.871764240E0,2.502936500E2,4.737149804E0,3.374010784E0
6.579705989E1,5.235422328E1,4.898844467E0,4.428390266E0,5.047286408E0,2.536538629E2,4.737284881E0,3.373821126E0
6.679705966E1,5.235420207E1,4.898776401E0,5.528289925E0,4.986433761E0,2.481323318E2,4.736960171E0,3.374277014E0
6.779705834E1,5.235418379E1,4.898705671E0,5.344128040E0,4.969533716E0,2.485645513E2,4.737407417E0,3.373649063E0
6.879705763E1,5.235417034E1,4.898636628E0,5.379642924E0,4.871340469E0,2.516453679E2,4.738527470E0,3.372075688E0
6.979705739E1,5.235415772E1,4.898563303E0,5.829225501E0,5.009126002E0,2.538775376E2,4.738420707E0,3.372225709E0
7.079705703E1,5.235414595E1,4.898496509E0,5.972473542E0,4.844500003E0,2.539793750E2,4.738276876E0,3.372427802E0
7.179705667E1,5.235412712E1,4.898431361E0,6.038182402E0,4.829745846E0,2.491952370E2,4.738581519E0,3.371999736E0
7.279705513E1,5.235411675E1,4.898365885E0,5.737228846E0,4.571325679E0,2.524325132E2,4.738096462E0,3.372681271E0
7.379705548E1,5.235410243E1,4.898289794E0,5.964951175E0,4.906173052E0,2.532753208E2,4.737650296E0,3.373307977E0
7.479705334E1,5.235409039E1,4.898222012E0,5.303419807E0,4.861641945E0,2.539689842E2,4.737032274E0,3.374175790E0
7.579705238E1,5.235407447E1,4.898152324E0,6.097897433E0,4.893616110E0,2.521901320E2,4.737273323E0,3.373837355E0
7.679705167E1,5.235406517E1,4.898087603E0,6.208361860E0,4.665962829E0,2.548693444E2,4.737810934E0,3.373082357E0
7.779705071E1,5.235405426E1,4.898050834E0,6.768862690E0,3.542787311E0,2.508333522E2,4.738168760E0,3.372579700E0
7.879705060E1,5.235404680E1,4.898010961E0,6.186239078E0,2.848327432E0,2.493849410E2,4.736605723E0,3.374774550E0
7.979704976E1,5.235403639E1,4.897936351E0,6.114184462E0,3.660386272E0,2.533292231E2,4.734241374E0,3.378090533E0
8.079704893E1,5.235402096E1,4.897860012E0,6.852887949E0,4.471649269E0,2.535985606E2,4.734165410E0,3.378196991E0
8.179704845E1,5.235401015E1,4.897798476E0,6.017812684E0,4.292132939E0,2.541419434E2,4.733690968E0,3.378861769E0
8.279704666E1,5.235399273E1,4.897724430E0,6.025079901E0,4.640095739E0,2.511984930E2,4.733963200E0,3.378480347E0
8.379704583E1,5.235398018E1,4.897670249E0,4.766187649E0,4.095594045E0,2.490368061E2,4.734171318E0,3.378188710E0
8.479704547E1,5.235397433E1,4.897594664E0,4.627338264E0,4.355175469E0,2.570912263E2,4.734236031E0,3.378098020E0
8.579704392E1,5.235395858E1,4.897529735E0,4.952419627E0,4.335844841E0,2.543165367E2,4.732172459E0,3.380988148E0
8.679704356E1,5.235393875E1,4.897446030E0,5.065946703E0,4.916108505E0,2.521619273E2,4.731986280E0,3.381248716E0
8.779704356E1,5.235392719E1,4.897372065E0,4.332486766E0,4.755896701E0,2.533242317E2,4.733521058E0,3.379099795E0
8.879704142E1,5.235391585E1,4.897310289E0,4.676326456E0,4.263066033E0,2.542073795E2,4.733654531E0,3.378912815E0
8.979704094E1,5.235389643E1,4.897233627E0,4.739225373E0,4.538389793E0,2.508962649E2,4.735604930E0,3.376178754E0
9.079703975E1,5.235387867E1,4.897172722E0,4.615649651E0,4.324729669E0,2.469281617E2,4.736697848E0,3.374645245E0
9.179703879E1,5.235386425E1,4.897091406E0,4.098625356E0,4.759714947E0,2.513653078E2,4.736741037E0,3.374584624E0
