"Time (s)","X (hPa)"
2.808341621E2,1.006673050E3
2.818955501E2,1.006673050E3
2.829570031E2,1.006668396E3
2.840184371E2,1.006672134E3
2.850798411E2,1.006672134E3
2.861412691E2,1.006677628E3
2.872026551E2,1.006677628E3
2.882641151E2,1.006677399E3
2.893254971E2,1.006676331E3
2.903869281E2,1.006673279E3
2.914483551E2,1.006676331E3
2.925098251E2,1.006678009E3
2.935712541E2,1.006678009E3
2.946326791E2,1.006671600E3
2.956940841E2,1.006669464E3
2.967554891E2,1.006669006E3
2.978169281E2,1.006662903E3
2.988782961E2,1.006643143E3
2.999396741E2,1.006635971E3
3.010010451E2,1.006630478E3
3.020623891E2,1.006630478E3
3.031238081E2,1.006638489E3
3.041851921E2,1.006655121E3
3.052466131E2,1.006670074E3
3.063079761E2,1.006670074E3
3.073693911E2,1.006667786E3
3.084307811E2,1.006660843E3
3.094921921E2,1.006654739E3
3.105535521E2,1.006654739E3
3.116149521E2,1.006669235E3
3.126763571E2,1.006685028E3
3.137377721E2,1.006696167E3
3.147991741E2,1.006697388E3
3.158606511E2,1.006697388E3
3.169221261E2,1.006684799E3
3.179835411E2,1.006680603E3
3.190449621E2,1.006680603E3
3.201063671E2,1.006680603E3
3.211678201E2,1.006680527E3
3.222292581E2,1.006678009E3
3.232906831E2,1.006674423E3
3.243520981E2,1.006672134E3
3.254135121E2,1.006671753E3
3.264749151E2,1.006666107E3
3.275362791E2,1.006666107E3
3.285976731E2,1.006670303E3
3.296590101E2,1.006670914E3
3.307203651E2,1.006673203E3
3.317817381E2,1.006682434E3
3.328431171E2,1.006684189E3
3.339044741E2,1.006682434E3
3.349658051E2,1.006666870E3
3.360271271E2,1.006654053E3
3.370884641E2,1.006652374E3
3.381497531E2,1.006630859E3
3.392110551E2,1.006621628E3
3.402724091E2,1.006619263E3
3.413338021E2,1.006616440E3
3.423951721E2,1.006616440E3
3.434565471E2,1.006617813E3
3.445179241E2,1.006621704E3
3.455792701E2,1.006624756E3
3.466406681E2,1.006627808E3
3.477019971E2,1.006632538E3
3.487633451E2,1.006644363E3
3.498246941E2,1.006663361E3
3.508860481E2,1.006681824E3
3.519473841E2,1.006682892E3
3.530086941E2,1.006684799E3
3.540700031E2,1.006682892E3
3.551313911E2,1.006669617E3
3.561927511E2,1.006653442E3
3.572541241E2,1.006645203E3
3.583154711E2,1.006638870E3
3.593768531E2,1.006638870E3
3.604382321E2,1.006637268E3
3.614995671E2,1.006637268E3
3.625608981E2,1.006636658E3
3.636222121E2,1.006635056E3
3.646835291E2,1.006633453E3
3.657448791E2,1.006630325E3
3.668062391E2,1.006627579E3
3.678675691E2,1.006625900E3
3.689288671E2,1.006620026E3
3.699901491E2,1.006617584E3
3.710514791E2,1.006611176E3
3.721127741E2,1.006599579E3
3.731740681E2,1.006599579E3
3.742354141E2,1.006592865E3
3.752966811E2,1.006592865E3
3.763579501E2,1.006561813E3
3.774192131E2,1.006547165E3
3.784804691E2,1.006540375E3
3.795417771E2,1.006494675E3
3.806031021E2,1.006458054E3
3.816644381E2,1.006458054E3
3.827257521E2,1.006458054E3
3.837870881E2,1.006457901E3
3.848484261E2,1.006457901E3
3.859097441E2,1.006482239E3
3.869710101E2,1.006483307E3
3.880322761E2,1.006483307E3
3.890935761E2,1.006475906E3
3.901548821E2,1.006472244E3
3.912162151E2,1.006466751E3
3.922775051E2,1.006466751E3
3.933387721E2,1.006468353E3
3.944000491E2,1.006478271E3
3.954613441E2,1.006479187E3
3.965226221E2,1.006479187E3
3.975839251E2,1.006477432E3
3.986452401E2,1.006472015E3
3.997065351E2,1.006465683E3
4.007678471E2,1.006457901E3
4.018290851E2,1.006457901E3
4.028903151E2,1.006460037E3
4.039515561E2,1.006460419E3
4.050128091E2,1.006461411E3
