"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.861164970E-1,2.202000046E1,-2.243999863E1,-1.752000046E1
9.936217470E-1,2.202000046E1,-2.243999863E1,-1.752000046E1
1.001625747E0,2.160000038E1,-2.171999931E1,-1.727999878E1
1.009962413E0,2.129999924E1,-2.135999870E1,-1.637999916E1
1.017675841E0,2.034000015E1,-2.087999916E1,-1.607999992E1
1.024675091E0,1.937999916E1,-2.052000046E1,-1.547999954E1
1.032455202E0,1.937999916E1,-2.052000046E1,-1.547999954E1
1.040457302E0,1.829999924E1,-2.105999947E1,-1.517999935E1
1.048640938E0,1.781999969E1,-2.045999908E1,-1.493999958E1
1.056307104E0,1.757999992E1,-1.979999924E1,-1.463999939E1
1.063537411E0,1.757999992E1,-1.937999916E1,-1.439999962E1
1.079563411E0,1.757999992E1,-1.937999916E1,-1.439999962E1
1.089563411E0,1.721999931E1,-1.818000031E1,-1.373999977E1
1.099536411E0,1.602000046E1,-1.745999908E1,-1.313999939E1
1.108522911E0,1.488000011E1,-1.668000031E1,-1.134000015E1
1.118523244E0,1.488000011E1,-1.668000031E1,-1.134000015E1
1.128520494E0,1.493999958E1,-1.607999992E1,-1.151999950E1
1.138520494E0,1.529999924E1,-1.583999920E1,-1.181999969E1
1.147849494E0,1.535999966E1,-1.469999981E1,-1.271999931E1
1.157849351E0,1.535999966E1,-1.469999981E1,-1.271999931E1
1.167849476E0,1.529999924E1,-1.446000004E1,-1.307999992E1
1.177848142E0,1.505999947E1,-1.361999989E1,-1.289999962E1
1.187045542E0,1.427999973E1,-1.343999958E1,-1.253999996E1
1.195588542E0,1.434000015E1,-1.313999939E1,-1.217999935E1
1.211616542E0,1.434000015E1,-1.313999939E1,-1.217999935E1
1.221588542E0,1.392000008E1,-1.265999985E1,-1.175999928E1
1.231615542E0,1.421999931E1,-1.277999973E1,-1.188000011E1
1.239616042E0,1.385999966E1,-1.217999935E1,-1.163999939E1
1.245616375E0,1.379999924E1,-1.127999973E1,-1.175999928E1
1.253118125E0,1.379999924E1,-1.127999973E1,-1.175999928E1
1.261123725E0,1.301999950E1,-1.055999947E1,-1.193999958E1
1.269461558E0,1.200000000E1,-1.031999969E1,-1.139999962E1
1.277461700E0,1.157999992E1,-1.013999939E1,-1.109999943E1
1.286215200E0,1.157999992E1,-1.013999939E1,-1.109999943E1
1.295107088E0,1.211999989E1,-9.599999428E0,-1.092000008E1
1.304109788E0,1.230000019E1,-8.340000153E0,-1.109999943E1
1.312473515E0,1.253999996E1,-6.839999676E0,-1.163999939E1
1.320306931E0,1.247999954E1,-6.359999657E0,-1.230000019E1
1.336333931E0,1.247999954E1,-6.359999657E0,-1.230000019E1
1.346332931E0,1.181999969E1,-5.519999981E0,-1.200000000E1
1.356332931E0,1.139999962E1,-4.980000019E0,-1.205999947E1
1.364319931E0,1.061999989E1,-3.480000019E0,-1.181999969E1
1.374320264E0,1.061999989E1,-3.480000019E0,-1.181999969E1
1.384317514E0,1.073999977E1,-3.240000010E0,-1.253999996E1
