"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.718908300E-2,-5.504068732E-1,1.297194481E0,-1.642447472E0
2.918908300E-2,-5.681617260E-1,1.284341812E0,-1.632199287E0
4.321508300E-2,-5.537965298E-1,1.315466404E0,-1.682477474E0
5.522858300E-2,-5.986131430E-1,1.385600090E0,-1.649202824E0
6.656158300E-2,-4.968636334E-1,1.469035625E0,-1.218816280E0
7.606133300E-2,-5.261377096E-1,1.477491856E0,-1.221434116E0
9.208933300E-2,-4.614942372E-1,1.479886055E0,-1.108906746E0
1.020893330E-1,-3.634424210E-1,1.561715603E0,-7.730064392E-1
1.120883330E-1,4.417163730E-1,1.607871532E0,7.613277435E-2
1.200748330E-1,4.073424935E-1,1.636965275E0,6.074047089E-2
1.260658330E-1,3.911100626E-1,1.651663780E0,5.293941498E-2
1.335655830E-1,5.132143497E-1,1.658846378E0,2.109565735E-1
1.415655830E-1,5.397943854E-1,1.652000427E0,4.784851074E-1
1.498987490E-1,-6.308025122E-2,1.449940681E0,7.396984100E-2
1.576091770E-1,-5.226409435E-2,1.440071106E0,7.917404175E-2
1.646058020E-1,-4.536956549E-2,1.433252335E0,8.285140991E-2
1.723834680E-1,-1.435318589E-1,1.409310341E0,-1.158676147E-1
1.803834680E-1,-2.639926076E-1,1.345662594E0,-5.131897926E-1
1.885652860E-1,-2.848526239E-1,1.386824608E0,-9.640121460E-1
1.963963690E-1,-2.850725055E-1,1.385662556E0,-9.632205963E-1
2.124233690E-1,-2.547815442E-1,1.408267498E0,-9.710049629E-1
2.224233690E-1,-1.099343896E-1,1.427478790E0,-8.854751587E-1
2.324228690E-1,-1.427972317E-1,1.423026085E0,-6.891074181E-1
2.410805350E-1,-1.423482895E-1,1.440340042E0,-7.005076408E-1
2.480737850E-1,-1.421833634E-1,1.448987961E0,-7.061715126E-1
2.560735850E-1,-1.876732111E-1,1.420257568E0,-6.127977371E-1
2.644069180E-1,-1.354610324E-1,1.329956532E0,-4.069051743E-1
2.729783460E-1,6.471252441E-2,1.209523201E0,-2.367882729E-1
2.809749710E-1,5.711257458E-2,1.199424744E0,-2.293391228E-1
2.883053040E-1,5.302357674E-2,1.191592693E0,-2.237534523E-1
2.963053040E-1,5.781197548E-2,1.225111485E0,-2.405128479E-1
3.044871220E-1,3.972905874E-2,1.439319611E0,-4.013986588E-1
3.128203720E-1,-1.016384363E-2,1.629764557E0,-9.153356552E-1
3.206644480E-1,-9.321093559E-3,1.614209652E0,-9.051656723E-1
3.280910900E-1,-5.967557430E-3,1.601142406E0,-8.968992233E-1
3.441170900E-1,-1.554435492E-2,1.574806213E0,-9.447832108E-1
3.541180900E-1,-3.159761429E-2,1.290468216E0,-1.063938141E0
3.641185900E-1,-5.090602636E-1,1.088694096E0,-1.033888817E0
3.727765900E-1,-5.015240312E-1,1.097356796E0,-1.040513992E0
3.797700900E-1,-4.988948703E-1,1.104227543E0,-1.045372009E0
3.877702900E-1,-5.731151104E-1,1.154505730E0,-9.735460281E-1
3.961037900E-1,-5.416225195E-1,1.344235897E0,-8.438510895E-1
4.046752180E-1,4.879437089E-1,1.188256264E0,-2.048153877E-1
4.129219680E-1,4.843886495E-1,1.208335400E0,-2.176070213E-1
4.218108560E-1,6.424145699E-1,1.080493450E0,-6.735992432E-2
4.308109560E-1,6.427769661E-1,9.578366280E-1,1.139011383E-1
4.399018650E-1,-6.230759621E-2,1.154310226E0,-5.418810844E-1
4.483996980E-1,-5.959260464E-2,1.138762474E0,-5.319876671E-1
4.563976980E-1,-5.367726088E-2,1.120799541E0,-5.208258629E-1
