"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.382608300E-2,2.173153162E-1,1.138500124E-1,-1.076649968E-2
1.581508300E-2,2.173153162E-1,1.138500124E-1,-1.076649968E-2
1.781508300E-2,2.173153162E-1,1.138500124E-1,-1.076649968E-2
1.981508300E-2,2.173153162E-1,1.138500124E-1,-1.076649968E-2
2.181508300E-2,2.173153162E-1,1.138500124E-1,-1.076649968E-2
2.381508300E-2,2.173153162E-1,1.138500124E-1,-1.076649968E-2
2.580988300E-2,1.678352207E-1,-2.135737687E-1,-2.825251780E-3
2.780554900E-2,1.580613852E-1,-2.172389477E-1,8.399396902E-4
2.980183400E-2,1.580613852E-1,-2.172389477E-1,8.399396902E-4
3.179858400E-2,1.452332139E-1,-2.209041417E-1,3.894265974E-3
3.379602800E-2,1.452332139E-1,-2.209041417E-1,3.894265974E-3
3.579602800E-2,1.385136992E-1,-2.264019251E-1,1.450804994E-3
3.779602800E-2,1.385136992E-1,-2.264019251E-1,1.450804994E-3
3.979602800E-2,1.385136992E-1,-2.264019251E-1,1.450804994E-3
4.179602800E-2,1.385136992E-1,-2.264019251E-1,1.450804994E-3
4.379602800E-2,1.385136992E-1,-2.264019251E-1,1.450804994E-3
4.579602800E-2,5.360342562E-2,-2.251801938E-1,2.283108793E-2
4.779609000E-2,4.505131021E-2,-2.190715522E-1,2.649627998E-2
4.979614800E-2,2.000583708E-2,-2.105194330E-1,3.627012298E-2
5.179620300E-2,-1.374446787E-3,-2.037999183E-1,4.176791012E-2
5.379625500E-2,-1.175915636E-2,-1.970804036E-1,5.032002553E-2
5.579630500E-2,-3.497203439E-2,-1.873065531E-1,5.642867833E-2
5.779635200E-2,-5.757404864E-2,-1.793653071E-1,6.559165567E-2
5.979639700E-2,-7.956519723E-2,-1.659262776E-1,7.414376736E-2
6.179526600E-2,-9.178250283E-2,-1.634828150E-1,8.391761035E-2
6.379414100E-2,-1.113301888E-1,-1.524872333E-1,9.674578160E-2
6.579310100E-2,-1.876883507E-1,-1.329395473E-1,1.358411610E-1
6.779206200E-2,-1.950187236E-1,-1.335504204E-1,1.456149966E-1
6.979109900E-2,-2.066251636E-1,-1.359938681E-1,1.431715488E-1
7.179017000E-2,-2.066251636E-1,-1.359938681E-1,1.431715488E-1
7.378930700E-2,-2.127338201E-1,-1.347721517E-1,1.462258697E-1
7.578850700E-2,-2.127338201E-1,-1.347721517E-1,1.462258697E-1
7.778850700E-2,-2.218967974E-1,-1.329395473E-1,1.474476010E-1
7.978854000E-2,-2.261728644E-1,-1.359938681E-1,1.535562575E-1
8.178857300E-2,-2.426662147E-1,-1.378264725E-1,1.590540409E-1
8.378857300E-2,-2.457205504E-1,-1.390482038E-1,1.627192348E-1
8.576157300E-2,-2.573269904E-1,-1.384373307E-1,1.663844138E-1
8.776157300E-2,-2.671008408E-1,-1.396590620E-1,1.755474061E-1
8.975757300E-2,-2.713768780E-1,-1.408807933E-1,1.816560477E-1
9.175757300E-2,-2.774855494E-1,-1.408807933E-1,1.865429729E-1
9.375757300E-2,-2.823724449E-1,-1.433242559E-1,1.883755773E-1
9.575723900E-2,-2.787072659E-1,-1.402699351E-1,1.950950921E-1
9.775709600E-2,-2.823724449E-1,-1.433242559E-1,1.938733608E-1
9.975697100E-2,-2.811507285E-1,-1.427133977E-1,1.938733608E-1
1.017568590E-1,-2.799290121E-1,-1.421025246E-1,1.932624876E-1
1.037567590E-1,-2.780964077E-1,-1.408807933E-1,1.871538460E-1
1.057543040E-1,-2.475531399E-1,-1.280526221E-1,1.358411610E-1
1.077520540E-1,-2.475531399E-1,-1.280526221E-1,1.358411610E-1
1.097499770E-1,-2.475531399E-1,-1.280526221E-1,1.358411610E-1
1.117480480E-1,-2.396118939E-1,-1.237765700E-1,1.278999150E-1
1.137475140E-1,-2.347249687E-1,-1.176679209E-1,1.187369302E-1
1.157462640E-1,-2.347249687E-1,-1.176679209E-1,1.187369302E-1
1.177462050E-1,-2.225076705E-1,-1.103375331E-1,1.034653038E-1
1.197461490E-1,-2.133446932E-1,-1.085049361E-1,9.430231899E-2
1.217460960E-1,-1.968513280E-1,-9.750936180E-2,7.658722997E-2
1.237460460E-1,-1.803579628E-1,-8.468119800E-2,5.948300287E-2
1.257460460E-1,-1.718058437E-1,-7.979427278E-2,4.909829423E-2
1.277460460E-1,-1.516472995E-1,-7.002042979E-2,3.138320148E-2
1.297460460E-1,-1.278235465E-1,-5.413793400E-2,1.366810966E-2
1.317460460E-1,-1.180497110E-1,-4.864014685E-2,9.392052889E-3
1.337460460E-1,-9.605856240E-2,-3.336851299E-2,-9.544769302E-3
