"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750344424681597E9,"2025-06-19 16:47:04.682 UTC+02:00"
"PAUSE",9.000082184583334E2,1.750345324694952E9,"2025-06-19 17:02:04.695 UTC+02:00"
