"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750336030265345E9,"2025-06-19 14:27:10.265 UTC+02:00"
"PAUSE",9.000084403749997E2,1.750336930278467E9,"2025-06-19 14:42:10.278 UTC+02:00"
