"event","experiment time","system time","system time text"
"START",0.000000000E0,1750350774.443,"2025-06-19 18:32:54.443 UTC+02:00"
"PAUSE",4.061402344E0,1750350778.504,"2025-06-19 18:32:58.504 UTC+02:00"
