"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.902333333E-3,-7.952961731E-1,4.328548737E0,8.554560699E0
1.885633333E-2,-7.827223206E-1,4.390370178E0,8.589737549E0
2.880933333E-2,-7.857160950E-1,4.422253876E0,8.715925140E0
3.876333333E-2,-8.063731384E-1,4.427942047E0,8.873547363E0
4.871633333E-2,-8.165519714E-1,4.406386871E0,8.993747406E0
5.867033333E-2,-8.002359009E-1,4.368815002E0,9.064250793E0
6.862433333E-2,-7.729925537E-1,4.310735779E0,9.031918030E0
7.857733333E-2,-7.321275330E-1,4.294419708E0,8.931027832E0
8.853133333E-2,-7.321275330E-1,4.278253326E0,8.841214600E0
9.848433333E-2,-7.303312683E-1,4.321064301E0,8.778794403E0
1.084383333E-1,-8.119116211E-1,4.366270294E0,8.694819031E0
1.183913333E-1,-8.843609619E-1,4.374503174E0,8.653954010E0
1.283453333E-1,-8.966354370E-1,4.370162201E0,8.647218018E0
1.382983333E-1,-8.641529846E-1,4.364474030E0,8.684490509E0
1.482523333E-1,-8.065228271E-1,4.352498932E0,8.768016815E0
1.582053333E-1,-7.762857056E-1,4.341721344E0,8.841813354E0
1.681593333E-1,-7.837701416E-1,4.310586090E0,8.942553864E0
1.781133333E-1,-8.316705322E-1,4.351301422E0,8.991951141E0
1.880663333E-1,-8.803193665E-1,4.340523834E0,8.956025848E0
1.980203333E-1,-8.535250854E-1,4.343367920E0,8.914861450E0
2.079733333E-1,-8.604107666E-1,4.343068542E0,8.737330627E0
2.179273333E-1,-8.710386658E-1,4.327650604E0,8.615633698E0
2.278803333E-1,-9.198371887E-1,4.312981110E0,8.487200775E0
2.378343333E-1,-9.714797974E-1,4.339176636E0,8.414002991E0
2.477873333E-1,-1.021924896E0,4.363725586E0,8.368048553E0
2.577413333E-1,-1.053808594E0,4.349954224E0,8.413703613E0
2.676943333E-1,-1.013242950E0,4.377796326E0,8.491691437E0
2.776483333E-1,-8.774752808E-1,4.486620026E0,8.678802338E0
2.876023333E-1,-8.041278076E-1,4.439767456E0,8.881780243E0
2.975553333E-1,-7.000941467E-1,4.337080994E0,9.057215424E0
3.075093333E-1,-6.373745728E-1,4.301006012E0,9.194180603E0
3.174623333E-1,-6.451583862E-1,4.275259552E0,9.190588074E0
3.274163333E-1,-6.845265198E-1,4.211941223E0,9.139693909E0
