"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.000733333E-2,-1.787869072E1,6.278503418E0,-4.439697266E0
4.996133333E-2,-1.785601616E1,6.495681763E0,-4.200256348E0
5.991433333E-2,-1.795427895E1,6.595153809E0,-4.009765625E0
6.986833333E-2,-1.806743813E1,7.027969360E0,-3.733215332E0
7.982133333E-2,-1.802406120E1,7.049606323E0,-3.644653320E0
8.977533333E-2,-1.818993950E1,7.164337158E0,-3.741699219E0
9.972833333E-2,-1.817006111E1,7.621154785E0,-3.678466797E0
1.096823333E-1,-1.828024483E1,7.794311523E0,-3.343627930E0
1.196353333E-1,-1.814127159E1,7.902465820E0,-3.745483398E0
1.295893333E-1,-1.825801277E1,8.160339355E0,-3.302673340E0
1.395433333E-1,-1.847960472E1,8.282440186E0,-3.067810059E0
1.494963333E-1,-1.859157372E1,8.249496460E0,-3.151611328E0
1.594503333E-1,-1.854408455E1,8.665664673E0,-3.402038574E0
1.694033333E-1,-1.850591850E1,8.662734985E0,-2.852478027E0
1.793573333E-1,-1.852570915E1,8.726196289E0,-3.562255859E0
1.893103333E-1,-1.856569481E1,9.203323364E0,-3.175903320E0
1.992643333E-1,-1.845564461E1,9.103179932E0,-2.565612793E0
2.092173333E-1,-1.855566597E1,9.349334717E0,-2.986877441E0
2.191713333E-1,-1.843575096E1,9.602142334E0,-2.521301270E0
2.291243333E-1,-1.842287636E1,9.532669067E0,-2.946960449E0
2.390783333E-1,-1.849834251E1,9.669204712E0,-2.958618164E0
2.490323333E-1,-1.855448723E1,9.986846924E0,-1.988769531E0
2.589853333E-1,-1.867212868E1,9.818725586E0,-2.400756836E0
2.689393333E-1,-1.875304985E1,1.012773132E1,-2.038940430E0
2.788923333E-1,-1.847040367E1,1.006013489E1,-2.303405762E0
2.888463333E-1,-1.853082848E1,9.971664429E0,-2.352050781E0
2.987993333E-1,-1.863986397E1,1.031970215E1,-1.730957031E0
3.087533333E-1,-1.865344048E1,1.026918030E1,-2.179870605E0
3.187063333E-1,-1.868081856E1,1.029014587E1,-1.534973145E0
3.286603333E-1,-1.862242699E1,1.040502930E1,-1.797729492E0
3.386143333E-1,-1.846405220E1,1.039944458E1,-1.942626953E0
3.485673333E-1,-1.861097908E1,1.029907227E1,-1.560424805E0
3.585213333E-1,-1.852075386E1,1.052490234E1,-1.941345215E0
3.684743333E-1,-1.851764107E1,1.048471069E1,-1.485595703E0
3.784283333E-1,-1.860865593E1,1.043479919E1,-2.119384766E0
3.883813333E-1,-1.863273811E1,1.076531982E1,-2.068542480E0
3.983353333E-1,-1.792412376E1,1.080023193E1,-1.359008789E0
4.082883333E-1,-1.782425117E1,1.079312134E1,-1.844848633E0
4.182423333E-1,-1.772919655E1,1.092512512E1,-8.355102539E-1
4.281953333E-1,-1.794920158E1,1.050711060E1,-1.539123535E0
4.381493333E-1,-1.791253853E1,1.061218262E1,-1.873107910E0
4.481033333E-1,-1.775257683E1,1.071144104E1,-1.451965332E0
4.580563333E-1,-1.782174492E1,1.068962097E1,-1.542480469E0
4.680103333E-1,-1.784711647E1,1.073892212E1,-1.135498047E0
4.779633333E-1,-1.796661949E1,1.062855530E1,-1.353088379E0
4.879173333E-1,-1.796661949E1,1.062855530E1,-1.353088379E0
4.978703333E-1,-1.795720482E1,1.064741516E1,-1.175170898E0
5.078243333E-1,-1.795720482E1,1.064741516E1,-1.175170898E0
5.177773333E-1,-1.788546181E1,1.051477051E1,-1.422668457E0
5.277313333E-1,-1.816293907E1,1.047737122E1,-1.188964844E0
5.376853333E-1,-1.806530190E1,1.061776733E1,-1.204467773E0
5.476383333E-1,-1.799116707E1,1.035522461E1,-1.449462891E0
5.575923333E-1,-1.815492821E1,1.041082764E1,-1.214477539E0
5.675453333E-1,-1.813808250E1,1.046228027E1,-1.426635742E0
