"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.179643154E-1,5.230673508E1,4.952390592E0,1.403017727E0,4.912925155E0,3.322285554E2,4.762912118E0,3.337544785E0
1.317978144E0,5.230678341E1,4.952344741E0,1.309054821E0,5.647768152E0,3.307922814E2,4.759412563E0,3.342533334E0
2.317990303E0,5.230683790E1,4.952302760E0,1.270973120E0,6.316905496E0,3.317913178E2,4.761042647E0,3.340211064E0
3.318001866E0,5.230689695E1,4.952250229E0,1.265722593E0,7.016721733E0,3.307024210E2,4.765885419E0,3.333297648E0
4.318013549E0,5.230696254E1,4.952194621E0,1.193474932E0,7.670446255E0,3.312424803E2,4.760609022E0,3.340829055E0
5.318023324E0,5.230703180E1,4.952129428E0,1.174153181E0,8.366407218E0,3.307834588E2,4.765791061E0,3.333432555E0
6.318032622E0,5.230710828E1,4.952059863E0,1.195412541E0,9.019480190E0,3.311958261E2,4.767719727E0,3.330673452E0
7.318042517E0,5.230718970E1,4.951985563E0,1.138887487E0,9.662171382E0,3.310039299E2,4.762439021E0,3.338219826E0
8.318051696E0,5.230727729E1,4.951914532E0,1.035088541E0,1.015509777E1,3.319634542E2,4.764666006E0,3.335040462E0
9.318059444E0,5.230736817E1,4.951825075E0,8.845788762E-1,1.101458653E1,3.309537950E2,4.767371060E0,3.331172498E0
1.031806743E1,5.230746488E1,4.951730033E0,9.035627125E-1,1.171430849E1,3.303828125E2,4.769001631E0,3.328837707E0
1.131807423E1,5.230756621E1,4.951628168E0,1.152606845E0,1.227618723E1,3.301353047E2,4.769770837E0,3.327735445E0
1.231808126E1,5.230766762E1,4.951537071E0,1.240622929E0,1.298043716E1,3.310532605E2,4.767091602E0,3.331572406E0
1.331808817E1,5.230777400E1,4.951424693E0,7.784263119E-1,1.361206600E1,3.307573040E2,4.762604495E0,3.337983741E0
1.431809402E1,5.230789255E1,4.951299718E0,5.179409999E-1,1.440098395E1,3.304243088E2,4.762882256E0,3.337587399E0
1.531810021E1,5.230801122E1,4.951161297E0,2.177219521E-1,1.504714633E1,3.307244658E2,4.765076583E0,3.334453807E0
1.631810510E1,5.230815814E1,4.951063129E0,5.308749713E-2,1.606804928E1,3.304841474E2,4.736443770E0,3.375001844E0
1.731811059E1,5.230828861E1,4.950928969E0,-1.740993019E-1,1.654179584E1,3.306743297E2,4.736395894E0,3.375069032E0
1.831811571E1,5.230842392E1,4.950797023E0,2.882151026E-1,1.702509480E1,3.307657354E2,4.737849023E0,3.373028857E0
1.931812036E1,5.230856059E1,4.950660845E0,8.443692029E-1,1.728892529E1,3.298219557E2,4.738450984E0,3.372183166E0
2.031812489E1,5.230869543E1,4.950533186E0,1.155038051E0,1.712532833E1,3.306329426E2,4.738951806E0,3.371479321E0
2.131812835E1,5.230882695E1,4.950407383E0,1.495988565E0,1.686122926E1,3.307167948E2,4.739301737E0,3.370987404E0
2.231813312E1,5.230895214E1,4.950287315E0,1.872697948E0,1.631267760E1,3.307957387E2,4.739613710E0,3.370548756E0
2.331813633E1,5.230907641E1,4.950166969E0,2.011127381E0,1.598810047E1,3.307789092E2,4.740077040E0,3.369897134E0
2.431814027E1,5.230919786E1,4.950047515E0,2.030791837E0,1.568144771E1,3.305402890E2,4.740158158E0,3.369783030E0
2.531814373E1,5.230931717E1,4.949933824E0,2.227987133E0,1.535203447E1,3.307650964E2,4.740315155E0,3.369562177E0
2.631814730E1,5.230943314E1,4.949821143E0,2.512755821E0,1.502330587E1,3.305099839E2,4.740102357E0,3.369861522E0
2.731814945E1,5.230954720E1,4.949714555E0,2.506531341E0,1.468273463E1,3.306922934E2,4.740750432E0,3.368949743E0
2.831815350E1,5.230965972E1,4.949608076E0,2.631984754E0,1.444186159E1,3.306819031E2,4.740443745E0,3.369381269E0
2.931815732E1,5.230976781E1,4.949504546E0,2.786061497E0,1.404897111E1,3.306058461E2,4.740365678E0,3.369491100E0
3.031815815E1,5.230987296E1,4.949404336E0,2.759040398E0,1.366777586E1,3.304353943E2,4.740779233E0,3.368909214E0
3.131816113E1,5.230997497E1,4.949308948E0,3.007872979E0,1.316953491E1,3.307396366E2,4.740637169E0,3.369109120E0
3.231816387E1,5.231007312E1,4.949214951E0,3.161355786E0,1.270216252E1,3.304762307E2,4.740987418E0,3.368616234E0
3.331816530E1,5.231016554E1,4.949129076E0,3.345570055E0,1.205298137E1,3.306193922E2,4.741113210E0,3.368439188E0
3.431816804E1,5.231025295E1,4.949047846E0,3.373786635E0,1.137569431E1,3.306038131E2,4.740717848E0,3.368995595E0
3.531817007E1,5.231033408E1,4.948971715E0,3.566503773E0,1.063254159E1,3.305746480E2,4.740739708E0,3.368964834E0
3.631817222E1,5.231041047E1,4.948901982E0,3.515769040E0,9.943712479E0,3.307447761E2,4.740840362E0,3.368823192E0
3.731817520E1,5.231048155E1,4.948836184E0,3.630103533E0,9.251577404E0,3.307115304E2,4.740821765E0,3.368849362E0
3.831817663E1,5.231054819E1,4.948772686E0,3.738774050E0,8.664344746E0,3.304101763E2,4.740697021E0,3.369024902E0
3.931817806E1,5.231060879E1,4.948716362E0,3.850891356E0,7.929799810E0,3.304966341E2,4.740070352E0,3.369906540E0
4.031818008E1,5.231066757E1,4.948661901E0,3.850806589E0,7.526889662E0,3.306503182E2,4.740131141E0,3.369821034E0
4.131818175E1,5.231072258E1,4.948609510E0,3.826895219E0,7.131576454E0,3.303990382E2,4.740222078E0,3.369693114E0
4.231818306E1,5.231077295E1,4.948563873E0,3.881709460E0,6.570828127E0,3.305207968E2,4.739535079E0,3.370659322E0
4.331818545E1,5.231082019E1,4.948519908E0,3.920125992E0,6.129812165E0,3.306827582E2,4.739211971E0,3.371113603E0
4.431818688E1,5.231086487E1,4.948478260E0,3.746851126E0,5.788616630E0,3.304146391E2,4.739364462E0,3.370899217E0
4.531818771E1,5.231090630E1,4.948440919E0,3.774903246E0,5.397270394E0,3.306732071E2,4.739029382E0,3.371370277E0
4.631818914E1,5.231094456E1,4.948404407E0,3.761553634E0,5.022503084E0,3.302350702E2,4.739036502E0,3.371360269E0
4.731819129E1,5.231098080E1,4.948370526E0,3.807250829E0,4.706541264E0,3.306194387E2,4.738266091E0,3.372442955E0
4.831819272E1,5.231101400E1,4.948337681E0,3.618534831E0,4.355361405E0,3.304304508E2,4.738089022E0,3.372691722E0
4.931819320E1,5.231104558E1,4.948307638E0,3.543773990E0,4.067033032E0,3.305726367E2,4.738555990E0,3.372035612E0
5.031819522E1,5.231107352E1,4.948279498E0,3.319940693E0,3.686240477E0,3.303425313E2,4.738099448E0,3.372677075E0
5.131819618E1,5.231109729E1,4.948259896E0,3.260256832E0,3.173758359E0,3.320832563E2,4.738330416E0,3.372352577E0
5.231819713E1,5.231112199E1,4.948238154E0,3.241943832E0,3.040476717E0,3.316662005E2,4.738131505E0,3.372632040E0
5.331819785E1,5.231113917E1,4.948225869E0,2.931621278E0,2.377174685E0,3.324096375E2,4.737473540E0,3.373556208E0
5.431819963E1,5.231115509E1,4.948212094E0,2.793568843E0,2.027753883E0,3.317361537E2,4.737102601E0,3.374077056E0
5.531820118E1,5.231116661E1,4.948204982E0,2.556496062E0,1.629284146E0,3.319792635E2,4.737268501E0,3.373844126E0
5.631820178E1,5.231117235E1,4.948199942E0,2.474586216E0,1.137317628E0,3.282243984E2,4.737297088E0,3.373803986E0
5.731820250E1,5.231117216E1,4.948204018E0,2.146509610E0,4.179670059E-1,3.298243189E2,4.736412042E0,3.375046371E0
5.831820452E1,5.231117095E1,4.948210678E0,1.971338848E0,4.728737232E-2,3.298243243E2,4.737557592E0,3.373438172E0
