"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.666173333E-1,-6.746727973E-2,-3.083350882E-2,5.499456543E-3
7.765703333E-1,-5.505935475E-2,-2.318681031E-2,-7.192471065E-3
7.865243333E-1,-3.279026598E-2,-2.800313756E-2,-1.199175417E-2
7.964773333E-1,-8.731181733E-3,-3.143928573E-2,-6.833397318E-3
8.064313333E-1,1.562981866E-2,-1.627258025E-2,-5.705282092E-3
8.163843333E-1,3.089897521E-2,-8.814670146E-4,-1.707856543E-3
8.263383333E-1,2.314544655E-2,1.264286414E-2,5.103710573E-3
8.362913333E-1,-4.346953705E-3,8.002024144E-3,3.763035173E-3
8.462452083E-1,-3.647319600E-2,-3.178990912E-3,1.504940679E-3
8.561992083E-1,-5.711682886E-2,-2.282737195E-2,-7.891200949E-4
8.661522083E-1,-6.550019234E-2,-3.847584128E-2,-1.390461810E-3
8.761062083E-1,-5.363090709E-2,-3.962824494E-2,-4.255211912E-3
8.860592083E-1,-2.862861753E-2,-2.621256933E-2,-2.674891846E-3
8.960132083E-1,-4.898504820E-3,-6.387607194E-3,-3.647844074E-3
9.059662083E-1,1.581449620E-2,1.039243862E-2,-2.910681069E-3
9.159202083E-1,2.606998011E-2,2.074582875E-2,-3.409534926E-3
9.258742083E-1,1.932392642E-2,1.787121221E-2,-3.979984205E-3
9.358272083E-1,1.351270010E-3,9.570429102E-3,-2.872047713E-3
9.457812083E-1,-1.471238583E-2,-6.386965513E-3,-2.573507372E-3
9.557342083E-1,-2.533633448E-2,-2.291939035E-2,-6.519132294E-4
9.656882083E-1,-2.893293463E-2,-3.074588999E-2,2.176088747E-4
9.756412083E-1,-3.072058968E-2,-3.850413859E-2,4.029841628E-3
9.855952083E-1,-3.807277977E-2,-4.753704742E-2,6.915376522E-3
9.955482083E-1,-4.301795363E-2,-4.760391638E-2,7.391754072E-3
1.005502208E0,-4.339825362E-2,-4.195242375E-2,4.778127652E-3
1.015456208E0,-3.255829215E-2,-2.722971886E-2,2.337218728E-3
1.025409208E0,-1.353134029E-2,-4.571543075E-3,-5.464518908E-4
1.035363208E0,9.624568745E-3,1.784025133E-2,1.114727464E-3
1.045316208E0,2.852156200E-2,3.586425632E-2,-2.277721651E-4
1.055270208E0,3.768887371E-2,3.990276158E-2,-1.101921126E-2
1.065223208E0,2.917261794E-2,2.720560879E-2,-1.930244081E-2
1.075177208E0,7.299231365E-3,7.756566629E-3,-2.192932181E-2
1.085130208E0,-1.071545575E-2,-7.721459493E-3,-1.575078815E-2
1.095084208E0,-1.895873062E-2,-1.461176947E-2,-6.780927069E-3
1.105038208E0,-2.138566971E-2,-1.387860253E-2,-2.111872658E-3
1.114991208E0,-2.271296829E-2,-6.928737275E-3,4.976331256E-3
1.124945208E0,-2.499156818E-2,3.912271932E-4,3.145141294E-3
1.134898208E0,-2.832604572E-2,2.975612879E-3,3.211861709E-3
1.144852208E0,-3.182304278E-2,-4.449280445E-3,3.186029149E-3
1.154805208E0,-3.367102891E-2,-1.350091025E-2,3.065985162E-3
1.164759208E0,-3.023528494E-2,-1.945653744E-2,3.073708154E-3
1.174712208E0,-1.674393937E-2,-2.259305306E-2,8.194830734E-4
1.184666208E0,-5.260654725E-3,-2.177972347E-2,2.210186096E-3
1.194620208E0,8.310918696E-3,-2.531241439E-2,6.468293257E-3
1.204573208E0,1.063639112E-2,-2.846692689E-2,7.247534581E-3
1.214527208E0,7.258454338E-3,-2.986789308E-2,1.135615818E-2
1.224480208E0,5.969484337E-3,-2.731312253E-2,1.330718957E-2
1.234434208E0,1.548316237E-2,-1.898775809E-2,1.151955314E-2
1.244387208E0,2.968367003E-2,-1.376274507E-3,6.939980667E-3
1.254341208E0,3.404545784E-2,1.202059165E-2,7.925728336E-3
1.264294208E0,2.351372130E-2,2.034510113E-2,6.031422410E-3
1.274248208E0,1.264420338E-3,1.547587290E-2,3.071823856E-3
1.284201208E0,-2.556958981E-2,-6.738619413E-3,-6.332596764E-3
1.294155208E0,-4.475845397E-2,-3.415342420E-2,-6.345545873E-3
1.304109208E0,-5.425449088E-2,-4.716962576E-2,-4.948451184E-3
1.314062208E0,-5.412902683E-2,-5.449901521E-2,-5.588668864E-3
1.324016208E0,-4.398344830E-2,-5.579384416E-2,-3.968135454E-3
1.333969208E0,-2.120599151E-2,-5.243789405E-2,-6.288243458E-5
1.343923208E0,7.216329221E-3,-3.619713336E-2,2.796020824E-3
1.353876208E0,3.712913767E-2,-1.581135206E-2,2.066538436E-3
1.363830208E0,5.328626931E-2,-2.891174518E-4,-1.346035977E-3
1.373784208E0,4.933069274E-2,6.536157336E-3,-1.083098166E-2
1.383737208E0,2.863127179E-2,2.216776367E-3,-1.668274589E-2
1.393691208E0,-1.891415101E-3,-7.241118699E-3,-1.807650365E-2
1.403644208E0,-2.489606664E-2,-1.659280807E-2,-1.645517163E-2
1.413598208E0,-3.226737306E-2,-1.569530740E-2,-1.164146699E-2
1.423551208E0,-2.973177657E-2,-3.649297170E-3,-5.634175148E-3
1.433505208E0,-2.903889865E-2,6.789666601E-3,-2.430632943E-3
1.443458208E0,-3.442221507E-2,-1.190495677E-3,-4.136919975E-3
1.453412208E0,-4.085663706E-2,-2.336728014E-2,-7.489969023E-3
1.463365208E0,-3.703073785E-2,-4.238358140E-2,-9.560842998E-3
1.473319208E0,-1.595325023E-2,-4.233049229E-2,-5.306087900E-3
1.483273208E0,1.916878484E-2,-3.272899613E-2,-5.273330957E-3
1.493226208E0,4.745378718E-2,-1.488475967E-2,-2.032283694E-3
1.503180208E0,5.760735646E-2,-2.293068450E-3,2.465529367E-3
1.513133208E0,4.549008980E-2,5.271405913E-3,5.094149150E-3
1.523087208E0,1.726484299E-2,5.773548037E-5,6.569273770E-3
1.533040208E0,-1.405718457E-2,-8.957613260E-3,6.615306251E-3
1.542994208E0,-4.124566168E-2,-1.740063168E-2,5.796117708E-3
1.552947208E0,-5.803953484E-2,-2.290504053E-2,6.996338256E-3
1.562901208E0,-6.254906952E-2,-3.771860898E-2,4.264733754E-3
1.572855208E0,-5.360124260E-2,-4.384483770E-2,1.193861710E-3
1.582808208E0,-3.576685116E-2,-3.773101792E-2,-2.341218293E-3
1.592762208E0,-1.367425732E-2,-3.155819699E-2,-3.810010618E-3
1.602715208E0,9.227943374E-4,-2.163259871E-2,-5.938941613E-3
1.612669208E0,1.106295176E-2,-1.605962217E-2,-6.470653694E-3
1.622622208E0,1.847985573E-2,-8.309821598E-3,-8.949257433E-3
1.632576208E0,2.603280544E-2,4.554153420E-3,-1.291031018E-2
1.642529208E0,2.649859153E-2,1.046450622E-2,-1.278993487E-2
1.652483208E0,2.410319448E-2,1.127653569E-2,-1.050806046E-2
1.662437208E0,1.716912165E-2,1.762631163E-2,-9.275815450E-3
1.672390208E0,1.026657876E-2,3.284653649E-2,9.632199071E-4
