"Time (s)","X (hPa)"
-5.318989167E-1,1.027034149E3
5.025140833E-1,1.027036743E3
1.536899083E0,1.027039261E3
2.571238083E0,1.027041321E3
3.605621083E0,1.027041702E3
4.640060083E0,1.027041702E3
5.155748083E0,1.027038345E3
6.190099083E0,1.027038345E3
7.224447083E0,1.027040024E3
8.258792083E0,1.027041702E3
9.293179083E0,1.027042542E3
1.032756008E1,1.027045746E3
1.136194708E1,1.027050247E3
1.239634508E1,1.027050247E3
1.343077108E1,1.027045059E3
1.446511208E1,1.027034302E3
1.549953908E1,1.027024002E3
1.653402508E1,1.027005768E3
1.756851708E1,1.026970367E3
1.860296808E1,1.026932373E3
1.963742108E1,1.026894455E3
2.067187108E1,1.026854019E3
2.170632508E1,1.026815720E3
2.274074008E1,1.026791534E3
2.377516508E1,1.026768112E3
2.480954708E1,1.026745987E3
2.584390708E1,1.026723480E3
2.687824708E1,1.026700897E3
2.791258008E1,1.026677704E3
2.894690308E1,1.026658478E3
2.998125008E1,1.026643143E3
3.101561208E1,1.026629333E3
3.204999408E1,1.026617737E3
3.308434808E1,1.026607895E3
3.411879008E1,1.026602020E3
3.515322608E1,1.026599655E3
3.618767308E1,1.026599655E3
3.722208908E1,1.026602097E3
3.825647908E1,1.026606598E3
3.929085308E1,1.026609421E3
4.032522508E1,1.026613007E3
4.135961108E1,1.026616135E3
4.239402308E1,1.026619339E3
4.342844808E1,1.026625595E3
4.446288708E1,1.026633759E3
4.549721708E1,1.026641235E3
4.653159508E1,1.026651459E3
4.756596108E1,1.026657639E3
4.860031708E1,1.026660233E3
4.963464708E1,1.026660233E3
5.066894308E1,1.026654587E3
5.162178408E1,1.026644974E3
5.245126408E1,1.026638412E3
5.328076808E1,1.026632233E3
5.411029508E1,1.026626205E3
5.493983708E1,1.026626205E3
5.576935708E1,1.026632690E3
5.659883108E1,1.026632690E3
5.742831508E1,1.026632538E3
5.825779608E1,1.026623917E3
5.908730608E1,1.026615677E3
5.991680708E1,1.026598969E3
6.074625008E1,1.026579361E3
6.157569208E1,1.026577606E3
6.240519608E1,1.026576157E3
6.323470908E1,1.026575012E3
6.406421908E1,1.026574478E3
6.489373708E1,1.026574478E3
6.572322408E1,1.026575165E3
6.655271408E1,1.026575699E3
6.738210608E1,1.026575928E3
6.821152908E1,1.026576462E3
6.904096308E1,1.026576691E3
6.987040908E1,1.026576843E3
7.069985008E1,1.026577072E3
7.152930008E1,1.026577377E3
7.235874508E1,1.026577377E3
7.318823908E1,1.026577301E3
7.401775608E1,1.026576920E3
7.484723708E1,1.026576080E3
7.567670108E1,1.026575394E3
7.650614008E1,1.026573410E3
7.733558008E1,1.026571198E3
7.816503908E1,1.026568451E3
7.899448308E1,1.026566544E3
7.982397008E1,1.026562042E3
8.065344708E1,1.026555862E3
8.148290508E1,1.026555862E3
8.231238308E1,1.026575775E3
8.314184608E1,1.026595078E3
8.397133808E1,1.026616974E3
8.480083308E1,1.026650772E3
8.563034408E1,1.026673355E3
8.645983708E1,1.026711121E3
8.728933908E1,1.026754150E3
8.811883808E1,1.026797638E3
8.894830008E1,1.026841049E3
8.977780708E1,1.026878128E3
9.060728508E1,1.026885529E3
9.143675408E1,1.026885529E3
9.226624308E1,1.026884079E3
9.309574908E1,1.026881866E3
9.392521608E1,1.026878281E3
9.475469108E1,1.026874161E3
9.558417208E1,1.026870804E3
9.641365008E1,1.026867676E3
9.724309308E1,1.026865997E3
9.807253408E1,1.026864090E3
9.890199708E1,1.026862793E3
9.973144708E1,1.026862793E3
1.005608671E2,1.026862259E3
1.013903171E2,1.026861954E3
1.022197961E2,1.026859436E3
1.030492361E2,1.026855011E3
1.038786801E2,1.026848297E3
1.047637511E2,1.026840057E3
1.057981621E2,1.026831131E3
1.068325911E2,1.026826096E3
1.078669701E2,1.026799774E3
1.089013691E2,1.026772308E3
1.099358371E2,1.026744995E3
1.109702631E2,1.026715927E3
1.120046381E2,1.026684494E3
1.130390401E2,1.026669464E3
1.140734701E2,1.026661301E3
1.151078711E2,1.026652069E3
1.161423591E2,1.026645279E3
1.171768051E2,1.026639709E3
1.182112191E2,1.026631241E3
1.192455871E2,1.026621704E3
1.202799771E2,1.026620178E3
1.213144041E2,1.026620178E3
1.223487991E2,1.026620483E3
1.233831831E2,1.026626053E3
1.244176131E2,1.026635132E3
1.254520511E2,1.026640778E3
1.264864771E2,1.026641464E3
1.275208981E2,1.026641464E3
1.285552821E2,1.026637726E3
1.295896901E2,1.026628494E3
1.306241091E2,1.026614838E3
1.316585421E2,1.026599579E3
1.326929661E2,1.026585846E3
1.337274181E2,1.026576614E3
1.347618661E2,1.026566620E3
1.357962511E2,1.026557922E3
1.368306771E2,1.026551056E3
1.378650541E2,1.026540756E3
1.388995391E2,1.026529922E3
1.399339531E2,1.026520462E3
1.409684551E2,1.026512756E3
1.420029591E2,1.026504517E3
1.430374491E2,1.026498642E3
1.440719541E2,1.026494598E3
1.451064771E2,1.026491699E3
1.461409861E2,1.026490555E3
1.471755211E2,1.026490555E3
1.482099951E2,1.026490936E3
1.492444811E2,1.026490936E3
1.502789311E2,1.026490707E3
1.513133271E2,1.026487427E3
1.523477431E2,1.026482697E3
1.533822341E2,1.026478424E3
1.544166901E2,1.026476440E3
1.554511401E2,1.026473618E3
1.564856161E2,1.026472092E3
1.575200831E2,1.026469803E3
1.585545721E2,1.026461563E3
1.595890511E2,1.026452942E3
1.606235191E2,1.026448135E3
1.616580081E2,1.026445923E3
1.626924521E2,1.026445923E3
1.637269351E2,1.026451950E3
1.647613991E2,1.026469421E3
1.657958481E2,1.026469421E3
1.668302961E2,1.026462708E3
1.678647461E2,1.026453705E3
1.688991821E2,1.026440811E3
1.699336521E2,1.026418152E3
1.709680911E2,1.026407394E3
1.720025351E2,1.026406555E3
1.730370221E2,1.026406403E3
1.740714831E2,1.026406403E3
1.751060351E2,1.026408005E3
1.761405171E2,1.026416397E3
1.771750781E2,1.026436844E3
1.782096281E2,1.026459656E3
1.792441091E2,1.026481552E3
1.802785101E2,1.026503448E3
1.813128181E2,1.026537247E3
1.823471831E2,1.026571426E3
1.833815471E2,1.026603470E3
1.844159341E2,1.026635437E3
1.854503251E2,1.026666412E3
1.864846841E2,1.026683426E3
1.875191201E2,1.026683426E3
1.885534911E2,1.026681976E3
1.895878541E2,1.026679916E3
1.906222641E2,1.026679382E3
1.916567481E2,1.026679382E3
1.926912211E2,1.026679535E3
1.937256831E2,1.026681595E3
1.947601421E2,1.026685867E3
1.957945681E2,1.026686172E3
1.968290201E2,1.026687393E3
1.978634921E2,1.026688614E3
1.988979781E2,1.026691284E3
1.999325091E2,1.026691360E3
2.009669921E2,1.026696472E3
2.020014941E2,1.026703720E3
2.030359941E2,1.026704559E3
2.040705071E2,1.026704559E3
2.051050001E2,1.026697998E3
2.061395041E2,1.026687393E3
2.071740261E2,1.026666794E3
2.082084941E2,1.026640320E3
2.092430271E2,1.026612396E3
