"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.518791667E-3,4.860359140E-2,-3.749146968E-2,6.953508854E-3
1.647279167E-2,3.260537183E-2,-4.530934319E-2,-1.264752746E-2
2.642679167E-2,2.944712620E-3,-2.572117075E-2,-1.637922049E-2
3.637979167E-2,-2.719123386E-2,-5.701035261E-6,-2.110260129E-2
4.633379167E-2,-4.586959781E-2,1.928894117E-2,-1.194118381E-2
5.628779167E-2,-4.304243250E-2,3.590336591E-3,1.397075236E-2
6.624179167E-2,-1.187706543E-2,-4.741068631E-3,3.394951880E-2
7.619479167E-2,8.187764715E-3,8.542051166E-3,7.624184489E-3
8.614879167E-2,5.048942808E-3,2.214457512E-2,-9.665447474E-3
9.610279167E-2,8.009022642E-3,3.525885656E-2,-1.285685778E-2
1.060557917E-1,-9.890802819E-3,2.981407553E-2,-2.637269676E-2
1.160097917E-1,-1.970011007E-2,1.682200089E-2,-3.459680557E-2
1.259637917E-1,-4.237276185E-2,-1.808426857E-2,-1.714345157E-2
1.359167917E-1,-2.077203261E-2,-3.104462206E-2,1.013790250E-2
1.458707917E-1,1.712905280E-3,-6.030262738E-2,5.253138542E-3
1.558247917E-1,-2.261629924E-3,-8.130641073E-2,-1.848889589E-2
1.657777917E-1,5.830277000E-3,-4.835705817E-2,1.473498344E-4
1.757317917E-1,-6.345069520E-3,-4.527557552E-2,-5.520941019E-3
1.856857917E-1,-7.407892328E-3,-1.457973987E-2,-1.366552770E-2
1.956387917E-1,2.189060496E-2,6.036080718E-3,-2.671826720E-2
2.055927917E-1,4.019445475E-2,2.614670187E-2,-7.500223517E-3
2.155467917E-1,5.728151724E-2,1.611010239E-2,2.046525478E-3
2.254997917E-1,4.296705823E-2,1.559306234E-2,1.819828928E-2
2.354537917E-1,4.990534605E-2,9.286255538E-3,-8.804737329E-3
2.454077917E-1,7.198488917E-3,1.462783322E-2,-4.318168759E-3
2.553607917E-1,-4.359821035E-2,9.855335802E-3,-7.107290626E-3
2.653147917E-1,-2.886604087E-2,9.616769403E-3,-3.087973058E-2
2.752687917E-1,-3.452386156E-2,8.697440922E-3,-4.216134846E-2
2.852217917E-1,-1.902671183E-2,3.691785783E-3,-3.188896000E-2
2.951757917E-1,-7.897560094E-3,-5.752344579E-3,-1.149036348E-2
3.051297917E-1,-1.645009970E-2,4.297703505E-4,1.534017026E-2
3.150837917E-1,-2.156851474E-2,-1.796513155E-2,3.370335102E-3
3.250367917E-1,-2.638048086E-2,-1.099481195E-2,8.055709004E-3
3.349907917E-1,-2.580694210E-2,-9.194600433E-3,3.302858233E-2
3.449447917E-1,-5.704397410E-3,-8.917442411E-3,2.188028097E-2
3.548977917E-1,2.107972406E-2,-9.786777198E-4,-5.254307985E-3
3.648517917E-1,2.563781139E-2,2.101489305E-2,-2.108505964E-2
3.748057917E-1,5.821113316E-2,2.248371363E-2,-5.591399968E-2
3.847587917E-1,5.696174763E-2,4.118574053E-2,-3.063414752E-2
3.947127917E-1,4.318857634E-2,2.807145908E-2,-1.729314029E-2
4.046667917E-1,-1.937876903E-3,1.075785354E-2,7.159915566E-3
4.146197917E-1,-3.667863362E-2,5.125523061E-3,2.897997022E-2
4.245737917E-1,-5.871468807E-2,-7.445698231E-3,3.080605567E-2
4.345277917E-1,-5.093434637E-2,-1.107038721E-2,1.659732163E-2
4.444807917E-1,-2.874451015E-2,5.237643421E-4,-8.698902726E-3
4.544347917E-1,-2.103616230E-2,1.357153371E-2,-3.733914971E-2
4.643887917E-1,-1.627340415E-2,2.030007094E-3,-4.771561861E-2
4.743417917E-1,1.134473126E-2,-1.599944383E-2,-1.467592657E-2
4.842957917E-1,1.527926786E-2,-1.328414306E-2,-1.083722949E-2
4.942497917E-1,2.634981953E-2,-1.839227065E-2,3.621765375E-3
5.042027917E-1,2.936829843E-2,-2.081535682E-2,4.002068281E-2
5.141567917E-1,4.007751044E-2,-2.028983831E-2,5.562046945E-2
5.241107917E-1,4.917340256E-2,-2.657749549E-2,1.572140872E-2
5.340637917E-1,1.421991684E-2,6.067070961E-3,-1.782816052E-2
5.440177917E-1,-1.958903125E-2,2.209940538E-2,-4.759575069E-2
5.539717917E-1,-5.640752295E-2,2.608574465E-2,-9.336015344E-2
5.639247917E-1,-6.667537982E-2,2.838004589E-2,-8.017468214E-2
5.738787917E-1,-6.590654405E-2,3.074027449E-3,-9.335781455E-2
5.838327917E-1,-5.483533457E-2,-6.951316148E-3,-5.062285423E-2
5.937867917E-1,-2.044296227E-3,-2.232320756E-3,-1.924143255E-2
6.037397917E-1,3.238443844E-2,-2.377799481E-2,9.381272793E-3
6.136937917E-1,4.106196228E-2,-1.065757379E-2,2.367245257E-2
6.236477917E-1,3.959716167E-2,7.118985057E-4,2.216562510E-2
6.336007917E-1,2.687040444E-2,9.892904162E-3,7.303172350E-3
6.435547917E-1,2.259347683E-2,1.560168698E-2,-2.408234239E-2
6.535087917E-1,2.634039089E-2,4.937973619E-4,-4.716948867E-3
6.634617917E-1,2.422459418E-2,2.486528456E-2,4.765714645E-2
6.734157917E-1,-8.454708382E-4,3.187916592E-2,6.006844640E-2
6.833697917E-1,-2.256842516E-2,1.733597115E-2,4.058669329E-2
6.933227917E-1,-3.301924506E-2,2.375182852E-2,7.291477919E-4
7.032767917E-1,-2.802482754E-2,1.962106302E-2,-2.609144568E-2
7.132307917E-1,-1.557025820E-2,1.529017657E-2,-5.124265909E-2
7.231837917E-1,1.451425105E-2,5.725155026E-3,-6.186295688E-2
7.331377917E-1,2.207875740E-2,-8.790265471E-3,-4.614681065E-2
7.430917917E-1,1.873760356E-2,-3.616444409E-2,-2.900335908E-2
7.530447917E-1,2.531966804E-2,-3.606562614E-2,8.111257553E-3
7.629987917E-1,1.648903850E-2,-3.146050528E-2,2.373911083E-2
7.729527917E-1,-1.287706722E-2,-4.314338833E-2,4.858626902E-2
7.829057917E-1,-2.704485247E-2,-2.571853951E-2,1.379299700E-2
7.928597917E-1,-1.097215399E-2,-1.193694457E-2,-1.504313171E-2
8.028137917E-1,-1.405000040E-2,1.916731909E-2,-4.207831800E-2
8.127667917E-1,-2.597234521E-2,2.358284399E-2,-3.353729010E-2
8.227207917E-1,-2.681671970E-2,2.585565671E-2,-3.870213568E-2
8.326747917E-1,-9.071059730E-3,6.329026222E-3,-4.107844412E-2
8.426277917E-1,1.288147090E-2,1.102346331E-3,-3.142001331E-2
8.525817917E-1,2.162386229E-2,3.057655245E-3,-2.779649377E-2
8.625357917E-1,4.392245673E-3,-2.876625448E-2,-3.721051097E-2
8.724887917E-1,1.151055465E-2,-1.881429344E-2,-2.242816508E-2
8.824427917E-1,-3.653449975E-3,-1.550111488E-2,7.689673305E-3
8.923967917E-1,-2.939176038E-3,-1.937825739E-2,2.197383642E-2
9.023497917E-1,-1.607479982E-2,-1.118279994E-2,2.944423914E-2
