"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.928597917E-1,3.119627762E1,-8.793876648E0,-4.136248779E1
8.028137917E-1,3.111572647E1,-8.769096375E0,-4.099908447E1
8.127667917E-1,3.113254547E1,-8.738281250E0,-4.146423340E1
8.227207917E-1,3.111922073E1,-8.708908081E0,-4.089459229E1
8.326747917E-1,3.126208496E1,-8.653144836E0,-4.127667236E1
8.426277917E-1,3.121046448E1,-8.678848267E0,-4.153125000E1
8.525817917E-1,3.111732864E1,-8.733589172E0,-4.120422363E1
8.625357917E-1,3.110064697E1,-8.651947021E0,-4.141851807E1
8.724887917E-1,3.114103699E1,-8.667587280E0,-4.095312500E1
8.824427917E-1,3.106264877E1,-8.641441345E0,-4.149328613E1
8.923967917E-1,3.101871490E1,-8.717834473E0,-4.161450195E1
9.023497917E-1,3.111906052E1,-8.771636963E0,-4.114172363E1
9.123040417E-1,3.112846756E1,-8.814331055E0,-4.116680908E1
9.222580417E-1,3.114803696E1,-8.870147705E0,-4.090490723E1
9.322110417E-1,3.125031281E1,-8.771453857E0,-4.094287109E1
9.421650417E-1,3.124320221E1,-8.803504944E0,-4.140521240E1
9.521190417E-1,3.117131424E1,-8.750701904E0,-4.093579102E1
9.620720417E-1,3.104654312E1,-8.838523865E0,-4.149719238E1
9.720260417E-1,3.125216675E1,-8.936569214E0,-4.133465576E1
9.819800417E-1,3.136281204E1,-8.849243164E0,-4.146405029E1
9.919340417E-1,3.144633865E1,-8.870368958E0,-4.143377686E1
1.001887042E0,3.136740112E1,-8.828590393E0,-4.126940918E1
1.011841042E0,3.137925720E1,-8.789207458E0,-4.147241211E1
1.021795042E0,3.117774963E1,-8.942558289E0,-4.093670654E1
1.031748042E0,3.122697067E1,-8.791236877E0,-4.112030029E1
1.041702042E0,3.115516663E1,-8.822441101E0,-4.153546143E1
1.051656042E0,3.119912720E1,-8.973907471E0,-4.098510742E1
1.061609042E0,3.126085663E1,-8.984291077E0,-4.126177979E1
1.071563042E0,3.116593552E1,-8.810134888E0,-4.068811035E1
1.081517042E0,3.109562683E1,-8.787071228E0,-4.090429688E1
1.091470042E0,3.122909546E1,-8.848403931E0,-4.121350098E1
1.101424042E0,3.138226700E1,-8.782341003E0,-4.085961914E1
1.111378042E0,3.137903214E1,-8.874542236E0,-4.141473389E1
1.121331042E0,3.137036133E1,-8.844306946E0,-4.117523193E1
1.131285042E0,3.130209351E1,-8.723220825E0,-4.084960938E1
1.141239042E0,3.125870132E1,-8.787857056E0,-4.138653564E1
1.151192042E0,3.120619202E1,-8.718170166E0,-4.092102051E1
1.161146042E0,3.115965652E1,-8.775138855E0,-4.135729980E1
1.171100042E0,3.127006912E1,-8.795837402E0,-4.090124512E1
1.181053042E0,3.128604889E1,-8.644966125E0,-4.091638184E1
1.191007042E0,3.139746475E1,-8.614906311E0,-4.131567383E1
1.200961042E0,3.129345322E1,-8.688690186E0,-4.067993164E1
1.210914042E0,3.123757553E1,-8.714988708E0,-4.129107666E1
1.220868042E0,3.127804565E1,-8.631385803E0,-4.098181152E1
1.230822042E0,3.134843063E1,-8.665107727E0,-4.098901367E1
1.240775042E0,3.122027969E1,-8.686004639E0,-4.132495117E1
1.250729042E0,3.117971420E1,-8.725280762E0,-4.059899902E1
1.260683042E0,3.121659088E1,-8.614982605E0,-4.117767334E1
1.270636042E0,3.118263626E1,-8.689094543E0,-4.111456299E1
1.280590042E0,3.116908646E1,-8.717796326E0,-4.097631836E1
1.290544042E0,3.122000504E1,-8.658004761E0,-4.141186523E1
1.300497042E0,3.106457901E1,-8.649497986E0,-4.087683105E1
1.310451042E0,3.097114563E1,-8.632400513E0,-4.126397705E1
1.320405042E0,3.108053970E1,-8.603286743E0,-4.102532959E1
1.330358042E0,3.116619492E1,-8.598197937E0,-4.058520508E1
1.340312042E0,3.099167252E1,-8.692359924E0,-4.128814697E1
1.350266042E0,3.106411743E1,-8.726570129E0,-4.085791016E1
1.360219042E0,3.110325241E1,-8.731468201E0,-4.136621094E1
1.370173042E0,3.111467361E1,-8.693756104E0,-4.090167236E1
1.380127042E0,3.117715454E1,-8.663284302E0,-4.066021729E1
1.390080042E0,3.115662003E1,-8.597648621E0,-4.105889893E1
1.400034042E0,3.102122498E1,-8.711875916E0,-4.062561035E1
1.409988042E0,3.104515457E1,-8.598785400E0,-4.112506104E1
1.419941042E0,3.109045410E1,-8.728080750E0,-4.074902344E1
1.429895042E0,3.108798599E1,-8.730613708E0,-4.047296143E1
1.439849042E0,3.113223648E1,-8.752143860E0,-4.112689209E1
1.449802042E0,3.108390808E1,-8.986862183E0,-4.081701660E1
1.459756042E0,3.109347153E1,-8.835845947E0,-4.118957520E1
1.469710042E0,3.121523285E1,-8.988700867E0,-4.085406494E1
1.479663042E0,3.125987244E1,-8.922157288E0,-4.069750977E1
1.489617042E0,3.123627090E1,-8.988594055E0,-4.139996338E1
1.499571042E0,3.125065613E1,-8.960289001E0,-4.088055420E1
1.509524042E0,3.115342712E1,-8.948486328E0,-4.136895752E1
1.519478042E0,3.110433960E1,-8.968055725E0,-4.099475098E1
1.529432042E0,3.116301346E1,-8.930496216E0,-4.072253418E1
1.539385042E0,3.104563141E1,-8.847946167E0,-4.130493164E1
1.549339042E0,3.124759293E1,-8.881858826E0,-4.060095215E1
1.559293042E0,3.119993210E1,-8.899360657E0,-4.130993652E1
1.569246042E0,3.124486542E1,-8.905952454E0,-4.084899902E1
1.579200042E0,3.118807602E1,-8.944969177E0,-4.071630859E1
1.589154042E0,3.117623520E1,-8.980239868E0,-4.117926025E1
1.599107042E0,3.129633713E1,-9.033264160E0,-4.072082520E1
1.609061042E0,3.119304276E1,-9.038276672E0,-4.117431641E1
1.619015042E0,3.133937073E1,-9.153091431E0,-4.085089111E1
1.628968042E0,3.115557861E1,-9.000625610E0,-4.054113770E1
1.638922042E0,3.130520248E1,-8.960723877E0,-4.120874023E1
1.648876042E0,3.122121811E1,-8.939178467E0,-4.066625977E1
1.658829042E0,3.134477997E1,-8.931007385E0,-4.113073730E1
1.668783042E0,3.146150970E1,-8.862419128E0,-4.075994873E1
1.678737042E0,3.146150970E1,-8.862419128E0,-4.075994873E1
1.688690042E0,3.145948410E1,-8.965583801E0,-4.068731689E1
1.698644042E0,3.142580032E1,-8.828880310E0,-4.094079590E1
1.708598042E0,3.131506729E1,-8.941314697E0,-4.055841064E1
