"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.998617917E-1,-2.074685669E-1,2.174228668E0,9.591005402E0
9.098160417E-1,-2.222877502E-1,2.165696411E0,9.580976257E0
9.197700417E-1,-2.112107849E-1,2.175276489E0,9.547146606E0
9.297230417E-1,-1.856140137E-1,2.173180847E0,9.546248474E0
9.396770417E-1,-1.859133911E-1,2.184257813E0,9.557475128E0
9.496310417E-1,-1.642085266E-1,2.191891937E0,9.565258942E0
9.595840417E-1,-1.691482544E-1,2.182760925E0,9.582473145E0
9.695380417E-1,-1.698966980E-1,2.183209991E0,9.580976257E0
9.794920417E-1,-1.604663086E-1,2.205363922E0,9.549691315E0
9.894460417E-1,-1.534309387E-1,2.194286957E0,9.498797150E0
9.993990417E-1,-1.474433899E-1,2.204465790E0,9.500593414E0
1.009353042E0,-1.447489929E-1,2.197729797E0,9.552086334E0
1.019307042E0,-1.615141296E-1,2.196083221E0,9.603728943E0
1.029260042E0,-1.787283325E-1,2.167941742E0,9.608369293E0
1.039214042E0,-2.240840149E-1,2.164947968E0,9.576635284E0
1.049168042E0,-2.456391907E-1,2.183958435E0,9.585616608E0
1.059121042E0,-2.600093079E-1,2.194736023E0,9.556576996E0
1.069075042E0,-2.703378296E-1,2.197580109E0,9.546398163E0
1.079029042E0,-2.324665833E-1,2.215991821E0,9.559870148E0
1.088982042E0,-1.932481384E-1,2.193987579E0,9.553583221E0
1.098936042E0,-1.555265808E-1,2.225571899E0,9.558972015E0
1.108890042E0,-1.707948303E-1,2.209854584E0,9.540111237E0
1.118843042E0,-1.922003174E-1,2.203268280E0,9.519753571E0
1.128797042E0,-1.655557251E-1,2.221679993E0,9.511969757E0
1.138751042E0,-1.131646729E-1,2.217488708E0,9.533524933E0
1.148704042E0,-1.507365417E-1,2.205513611E0,9.576635284E0
1.158658042E0,-1.917512512E-1,2.163151703E0,9.605674896E0
1.168612042E0,-2.225871277E-1,2.155517578E0,9.625134430E0
1.178565042E0,-2.029779053E-1,2.168241119E0,9.590107269E0
1.188519042E0,-1.944456482E-1,2.173031158E0,9.541608124E0
1.198473042E0,-1.889071655E-1,2.187550964E0,9.479936371E0
1.208426042E0,-1.767823792E-1,2.183958435E0,9.444759521E0
1.218380042E0,-1.803749084E-1,2.209704895E0,9.404792633E0
1.228334042E0,-1.857637024E-1,2.200424194E0,9.458081818E0
1.238287042E0,-1.597178650E-1,2.193987579E0,9.487869873E0
1.248241042E0,-1.469943237E-1,2.195035400E0,9.546697540E0
1.258195042E0,-1.582209778E-1,2.189347229E0,9.619895325E0
1.268148042E0,-1.582209778E-1,2.192790070E0,9.691895599E0
1.278102042E0,-1.577719116E-1,2.182461548E0,9.718839569E0
