"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.518791667E-3,6.701424718E-3,5.031259730E-3,-6.153948605E-3
1.647279167E-2,5.545358174E-3,5.897763185E-3,-8.066060022E-3
2.642679167E-2,1.229971647E-3,3.867102787E-3,-6.198651623E-3
3.637979167E-2,-1.738665393E-3,5.490921438E-3,-4.858853295E-3
4.633379167E-2,-1.308565028E-3,4.407813773E-3,-4.926004913E-4
5.628779167E-2,-2.121415455E-4,1.205895096E-3,1.718089450E-3
6.624179167E-2,5.226299632E-3,9.763306007E-4,4.961900413E-5
7.619479167E-2,7.678272203E-3,5.120209418E-3,3.365520854E-3
8.614879167E-2,5.465984344E-3,6.774032488E-3,3.327437676E-3
9.610279167E-2,-8.366082329E-4,3.139299806E-3,2.562636742E-3
1.060557917E-1,-6.604482420E-3,-4.707703833E-3,6.624714006E-4
1.160097917E-1,-8.877862245E-3,-9.029666893E-3,-3.659301205E-3
1.259637917E-1,-7.270378061E-3,-1.166832726E-2,-1.005194848E-3
1.359167917E-1,-4.650743678E-3,-6.267037243E-3,6.817071699E-4
1.458707917E-1,3.189290874E-5,-8.349895477E-3,-5.406839773E-4
1.558247917E-1,2.548069460E-3,-7.633111905E-3,-2.742068144E-3
1.657777917E-1,6.270902231E-3,2.280073240E-4,3.895428963E-4
1.757317917E-1,5.934501067E-3,1.310364343E-3,2.517885296E-3
1.856857917E-1,3.176277969E-4,-1.737091225E-3,3.524027532E-3
1.956387917E-1,-1.258105040E-4,-2.359906211E-4,1.394840656E-3
2.055927917E-1,-1.289611915E-3,3.811215516E-3,1.254492206E-3
2.155467917E-1,-3.792271018E-4,5.620429758E-3,1.228875481E-3
2.254997917E-1,-4.143808037E-4,5.881153047E-3,-1.353858039E-3
2.354537917E-1,4.211524501E-3,3.511368763E-3,-4.155349918E-3
2.454077917E-1,5.127119366E-3,5.654414650E-3,-1.250373898E-3
2.553607917E-1,4.058892373E-3,4.869010299E-3,1.708642347E-3
2.653147917E-1,1.269497443E-3,9.728055447E-4,1.832745736E-3
2.752687917E-1,3.609044943E-4,5.357679911E-4,2.300745109E-3
2.852217917E-1,-1.802115003E-3,-1.477049198E-3,4.551743623E-4
2.951757917E-1,-1.165673602E-4,-1.449580304E-3,2.034184290E-3
3.051297917E-1,-8.729049005E-4,-2.678629011E-3,-1.604226534E-3
3.150837917E-1,-1.504745567E-3,-2.750490792E-3,-4.849177785E-4
3.250367917E-1,-1.058133319E-3,-7.339450531E-4,2.310336102E-3
3.349907917E-1,5.614799913E-3,2.782051452E-3,5.769555457E-3
3.449447917E-1,6.565814838E-3,2.050214680E-3,1.558298944E-3
3.548977917E-1,7.814187557E-3,2.810456324E-3,2.506877296E-3
3.648517917E-1,5.261814222E-3,2.728430787E-3,2.581712324E-3
3.748057917E-1,2.162460703E-3,3.895464586E-3,2.511428669E-3
3.847587917E-1,-7.012365386E-4,5.247285124E-3,1.245362218E-3
3.947127917E-1,-2.193749417E-3,4.214523360E-3,-1.843452686E-3
4.046667917E-1,-1.901225187E-5,2.457369817E-3,9.720413946E-4
4.146197917E-1,4.551787861E-3,-1.617781352E-3,2.346377587E-3
4.245737917E-1,6.968073547E-3,1.090122387E-4,5.964145530E-4
4.345277917E-1,8.775622584E-3,-3.802934662E-3,5.484130234E-4
4.444807917E-1,7.325530984E-3,-7.473037578E-3,-9.743827395E-4
4.544347917E-1,4.440289922E-3,-1.462209411E-2,4.636368249E-4
4.643887917E-1,3.792076837E-3,-1.780696958E-2,-3.162523499E-3
4.743417917E-1,-2.759599127E-3,-1.244207006E-2,-2.037093509E-3
4.842957917E-1,-2.655735705E-3,-1.108279172E-2,1.492393902E-3
4.942497917E-1,1.118590124E-3,-7.545041852E-3,4.255382810E-3
5.042027917E-1,8.339218795E-3,-2.354008611E-3,4.099055193E-3
5.141567917E-1,1.538375113E-2,6.073063239E-3,2.890575444E-3
5.241107917E-1,1.692039520E-2,6.127391942E-3,3.047701670E-3
5.340637917E-1,1.428595185E-2,5.907997023E-3,2.037773142E-3
5.440177917E-1,9.032600559E-3,4.155370872E-3,3.316090675E-3
5.539717917E-1,2.491721651E-3,-1.280116383E-3,4.841901828E-4
5.639247917E-1,-4.899349529E-3,-1.081050560E-2,2.149731154E-3
5.738787917E-1,-7.608938031E-3,-1.258304343E-2,3.003247548E-3
5.838327917E-1,-8.837187663E-3,-5.992251914E-3,6.152169313E-3
5.937867917E-1,-6.746390834E-3,-3.191159572E-3,1.471143216E-3
6.037397917E-1,-2.066950081E-3,-2.687289845E-3,1.462354790E-3
