"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.773442733E1,5.233925875E1,4.878985135E0,-7.651720688E0,1.779743218E1,8.584239443E1,4.736900876E0,3.374360254E0
4.873442721E1,5.233926904E1,4.879253727E0,-7.807489947E0,1.831938298E1,8.605698274E1,4.736791452E0,3.374513858E0
4.973442841E1,5.233928048E1,4.879530423E0,-8.003062095E0,1.884041897E1,8.592133759E1,4.736709158E0,3.374629370E0
5.073442876E1,5.233929087E1,4.879811742E0,-8.188957074E0,1.906344372E1,8.611755926E1,4.736781651E0,3.374527615E0
5.173442936E1,5.233930171E1,4.880089486E0,-8.178458077E0,1.901937084E1,8.615492069E1,4.737010638E0,3.374206166E0
5.273443079E1,5.233931218E1,4.880368309E0,-8.337662878E0,1.899525640E1,8.641186987E1,4.736967938E0,3.374266111E0
5.373443139E1,5.233932137E1,4.880647227E0,-7.402878183E0,1.893380785E1,8.690323224E1,4.737784670E0,3.373119247E0
5.473443198E1,5.233932830E1,4.880926635E0,-6.907878824E0,1.893045143E1,8.771377889E1,4.738517770E0,3.372089320E0
5.573443270E1,5.233933069E1,4.881205605E0,-6.286078529E0,1.891508209E1,8.898332545E1,4.739189116E0,3.371145733E0
5.673443305E1,5.233933155E1,4.881484730E0,-5.654203234E0,1.883873291E1,8.984169655E1,4.739606900E0,3.370558332E0
5.773443425E1,5.233932817E1,4.881762868E0,-4.939099698E0,1.877281780E1,9.096038629E1,4.739851407E0,3.370214484E0
5.873443544E1,5.233931988E1,4.882039981E0,-4.586015521E0,1.880036034E1,9.245596967E1,4.740309149E0,3.369570627E0
5.973443532E1,5.233930733E1,4.882315708E0,-4.344109846E0,1.877711878E1,9.397519532E1,4.740857320E0,3.368799327E0
6.073443592E1,5.233929103E1,4.882590149E0,-3.910006918E0,1.872920902E1,9.537730279E1,4.741225816E0,3.368280689E0
6.173443675E1,5.233927077E1,4.882860254E0,-3.694000162E0,1.863531540E1,9.668687657E1,4.741666185E0,3.367660735E0
6.273443794E1,5.233924614E1,4.883131896E0,-3.489249318E0,1.863281148E1,9.815034126E1,4.741860822E0,3.367386668E0
6.373443830E1,5.233921755E1,4.883403345E0,-3.233167846E0,1.867084603E1,9.951399919E1,4.741915721E0,3.367309360E0
6.473443866E1,5.233918617E1,4.883670424E0,-2.951512304E0,1.860181915E1,1.006571878E2,4.741862276E0,3.367384622E0
6.573443961E1,5.233915425E1,4.883937149E0,-2.819426791E0,1.856290925E1,1.010896466E2,4.742212598E0,3.366891253E0
6.673444331E1,5.233912280E1,4.884203318E0,-2.709483563E0,1.850021497E1,1.009411722E2,4.742365192E0,3.366676317E0
6.773444176E1,5.233908935E1,4.884470314E0,-2.576679191E0,1.851855685E1,1.012113275E2,4.742525991E0,3.366449800E0
6.873444235E1,5.233905725E1,4.884735180E0,-2.400038738E0,1.844067830E1,1.013518032E2,4.742502909E0,3.366482318E0
6.973444319E1,5.233901827E1,4.884999960E0,-2.228739408E0,1.844500190E1,1.029942927E2,4.742447465E0,3.366560423E0
7.073444366E1,5.233897597E1,4.885262298E0,-1.969647189E0,1.842511760E1,1.045327998E2,4.742678884E0,3.366234399E0
7.173444366E1,5.233892792E1,4.885520182E0,-1.641701836E0,1.836620232E1,1.062406728E2,4.743111352E0,3.365625014E0
7.273444486E1,5.233887919E1,4.885776002E0,-1.376501851E0,1.831006555E1,1.074704940E2,4.743206914E0,3.365490336E0
7.373444533E1,5.233882574E1,4.886027565E0,-1.269939403E0,1.823202880E1,1.089063413E2,4.743707507E0,3.364784706E0
7.473444653E1,5.233876984E1,4.886274427E0,-1.155200288E0,1.808517660E1,1.102089859E2,4.743743037E0,3.364734616E0
7.573444700E1,5.233871182E1,4.886517716E0,-9.455109965E-1,1.784072559E1,1.113927729E2,4.743686614E0,3.364814162E0
7.673444748E1,5.233865086E1,4.886754409E0,-9.419422504E-1,1.759014893E1,1.125668994E2,4.743222904E0,3.365467801E0
7.773444831E1,5.233858670E1,4.886982923E0,-8.908333415E-1,1.719128697E1,1.140774544E2,4.742795129E0,3.366070617E0
7.873444903E1,5.233852169E1,4.887202885E0,-8.932584934E-1,1.666102427E1,1.154824742E2,4.742532177E0,3.366441086E0
7.973444951E1,5.233845633E1,4.887413156E0,-1.001017414E0,1.608713934E1,1.166940324E2,4.742183039E0,3.366932885E0
8.073445034E1,5.233839071E1,4.887612189E0,-7.154186321E-1,1.541916543E1,1.179847704E2,4.741908242E0,3.367319893E0
8.173445070E1,5.233832594E1,4.887802172E0,-6.129424907E-1,1.479426817E1,1.189682678E2,4.741520440E0,3.367865934E0
8.273445153E1,5.233826153E1,4.887980483E0,-3.062075600E-1,1.418905511E1,1.201339899E2,4.741267193E0,3.368222444E0
8.373445261E1,5.233819818E1,4.888149847E0,-1.479327930E-1,1.351060886E1,1.212588292E2,4.740812293E0,3.368862692E0
8.473445296E1,5.233813636E1,4.888311092E0,3.734111879E-2,1.283077275E1,1.220873524E2,4.740280842E0,3.369610448E0
