"Time (s)","X (hPa)"
3.688946332E2,1.008418579E3
3.699559642E2,1.008417206E3
3.710172792E2,1.008416290E3
3.720785932E2,1.008416290E3
3.731398622E2,1.008419037E3
3.742011632E2,1.008423080E3
3.752624702E2,1.008426666E3
3.763237432E2,1.008430405E3
3.773850072E2,1.008433609E3
3.784462702E2,1.008437195E3
3.795075402E2,1.008439178E3
3.805688152E2,1.008439178E3
3.816300272E2,1.008438797E3
3.826912652E2,1.008433304E3
3.837524892E2,1.008428345E3
3.848137442E2,1.008417206E3
3.858749992E2,1.008413315E3
3.869363102E2,1.008413315E3
3.879976482E2,1.008415070E3
3.890589612E2,1.008417511E3
3.901203442E2,1.008424454E3
3.911816992E2,1.008425293E3
3.922430842E2,1.008427658E3
3.933044402E2,1.008428345E3
3.943657822E2,1.008428345E3
3.954271702E2,1.008427658E3
3.964885472E2,1.008427505E3
3.975498842E2,1.008423004E3
3.986111982E2,1.008418045E3
3.996724952E2,1.008414154E3
4.007338482E2,1.008411026E3
4.017951722E2,1.008409195E3
4.028565542E2,1.008407898E3
4.039178722E2,1.008404541E3
4.049792182E2,1.008400879E3
4.060405822E2,1.008397369E3
4.071019302E2,1.008394470E3
4.081632172E2,1.008394470E3
4.092245322E2,1.008397141E3
4.102858072E2,1.008402176E3
4.113470902E2,1.008406982E3
4.124083632E2,1.008412933E3
4.134696742E2,1.008416977E3
4.145309632E2,1.008418350E3
4.155923232E2,1.008419647E3
4.166537012E2,1.008419647E3
4.177150822E2,1.008418655E3
4.187764632E2,1.008415451E3
4.198378392E2,1.008414612E3
4.208991832E2,1.008413162E3
4.219604772E2,1.008411865E3
4.230217812E2,1.008411865E3
4.240830812E2,1.008413162E3
4.251443862E2,1.008414383E3
4.262057032E2,1.008414383E3
4.272670482E2,1.008413925E3
4.283283742E2,1.008412933E3
4.293897202E2,1.008412476E3
4.304510542E2,1.008412094E3
4.315123702E2,1.008412094E3
4.325737192E2,1.008413162E3
4.336350702E2,1.008414154E3
4.346964362E2,1.008415298E3
4.357577912E2,1.008416977E3
4.368191622E2,1.008418427E3
4.378805612E2,1.008420563E3
4.389419032E2,1.008422623E3
4.400032362E2,1.008425293E3
4.410645782E2,1.008427505E3
4.421259072E2,1.008428268E3
4.431872692E2,1.008428268E3
4.442486252E2,1.008425980E3
4.453100052E2,1.008421936E3
4.463713382E2,1.008413391E3
4.474326582E2,1.008404694E3
4.484939252E2,1.008396530E3
4.495552472E2,1.008389130E3
4.506165512E2,1.008383636E3
4.516778242E2,1.008382797E3
4.527391132E2,1.008382797E3
4.538003882E2,1.008384323E3
4.548616752E2,1.008384933E3
4.559229262E2,1.008384933E3
4.569842522E2,1.008384476E3
4.580455212E2,1.008379898E3
4.591067602E2,1.008377380E3
4.601680432E2,1.008375931E3
4.612293542E2,1.008373718E3
4.622906932E2,1.008373718E3
4.633519742E2,1.008377151E3
4.644132362E2,1.008383713E3
4.654745732E2,1.008396530E3
4.665358902E2,1.008400574E3
4.675971402E2,1.008407822E3
4.686584012E2,1.008414154E3
4.697197232E2,1.008419724E3
4.707810652E2,1.008420029E3
4.718423882E2,1.008420029E3
4.729036862E2,1.008420029E3
4.739649992E2,1.008418884E3
4.750262802E2,1.008414230E3
4.760876082E2,1.008412781E3
4.771489142E2,1.008397598E3
4.782102602E2,1.008379822E3
4.792715442E2,1.008369141E3
4.803328292E2,1.008351822E3
4.813941242E2,1.008332138E3
4.824554052E2,1.008328781E3
4.835166902E2,1.008321762E3
4.845779342E2,1.008308563E3
4.856391862E2,1.008302155E3
4.867004162E2,1.008288040E3
4.877616822E2,1.008279877E3
4.888229272E2,1.008269119E3
4.898841682E2,1.008264313E3
4.909454092E2,1.008259201E3
4.920066112E2,1.008255920E3
4.930678692E2,1.008255463E3
4.941291192E2,1.008251038E3
4.951903942E2,1.008251038E3
4.962516532E2,1.008255463E3
4.973129172E2,1.008267670E3
4.983741182E2,1.008279266E3
4.994353542E2,1.008300476E3
5.004966252E2,1.008326645E3
5.015579372E2,1.008345108E3
5.026192162E2,1.008361130E3
5.036804762E2,1.008377228E3
5.047417332E2,1.008392029E3
5.058029682E2,1.008401794E3
5.068641792E2,1.008413315E3
5.079253942E2,1.008417816E3
5.089866662E2,1.008423843E3
5.100479012E2,1.008432083E3
5.111091452E2,1.008440475E3
5.121703592E2,1.008445511E3
5.132316062E2,1.008450851E3
5.142928762E2,1.008450851E3
5.153541092E2,1.008443832E3
5.164153642E2,1.008432999E3
5.174765902E2,1.008423843E3
5.185378032E2,1.008415222E3
5.195990572E2,1.008415222E3
5.206603042E2,1.008415298E3
5.217215622E2,1.008415298E3
5.227828582E2,1.008415833E3
5.238441642E2,1.008416290E3
5.249054492E2,1.008416748E3
5.259667372E2,1.008416748E3
5.270280272E2,1.008420944E3
5.280892582E2,1.008428726E3
5.291505122E2,1.008437195E3
5.302117262E2,1.008443298E3
5.312729112E2,1.008445511E3
5.323341402E2,1.008449402E3
5.333954082E2,1.008451614E3
5.344566742E2,1.008452225E3
5.355179172E2,1.008452911E3
5.365791732E2,1.008452988E3
5.376404532E2,1.008452988E3
5.387017502E2,1.008450012E3
5.397630462E2,1.008448944E3
5.408243962E2,1.008448944E3
5.418856992E2,1.008448944E3
5.429469892E2,1.008447418E3
5.440082792E2,1.008445206E3
5.450695612E2,1.008441772E3
5.461308372E2,1.008436050E3
5.471921422E2,1.008427200E3
5.482534572E2,1.008421555E3
5.493147932E2,1.008417130E3
5.503761352E2,1.008412704E3
5.514374252E2,1.008404541E3
5.524987402E2,1.008398209E3
5.535600342E2,1.008393784E3
5.546213362E2,1.008387680E3
5.556826192E2,1.008378143E3
5.567438692E2,1.008377533E3
5.578050952E2,1.008375854E3
5.588663552E2,1.008375626E3
5.599276242E2,1.008375626E3
5.609888842E2,1.008380051E3
5.620501752E2,1.008382187E3
5.631113722E2,1.008386993E3
5.641725742E2,1.008392105E3
5.652337242E2,1.008397598E3
