"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.921302092E1,5.233490718E1,4.867771260E0,6.317794854E-1,1.524415069E0,7.719185401E1,1.424339413E1,1.007703116E1
5.021302080E1,5.233491068E1,4.867793959E0,1.996673699E-1,1.522704805E0,7.657527964E1,1.424391511E1,1.007629474E1
5.121301925E1,5.233491249E1,4.867817977E0,1.079725819E-1,1.515567273E0,7.565367737E1,1.424414481E1,1.007597003E1
5.221301913E1,5.233490734E1,4.867870015E0,3.042720780E-1,1.546859561E0,8.730190277E1,1.424322622E1,1.007726849E1
5.321301758E1,5.233491195E1,4.867889070E0,3.349788273E-1,1.527831927E0,8.730190277E1,1.424265511E1,1.007807565E1
5.421301734E1,5.233491609E1,4.867908851E0,1.756844865E-1,1.535665162E0,8.730190277E1,1.424283031E1,1.007782804E1
5.521301532E1,5.233491968E1,4.867927320E0,5.676914202E-1,1.541552038E0,8.730190277E1,1.424322668E1,1.007726783E1
5.621301568E1,5.233492164E1,4.867947234E0,6.613468733E-1,1.530226904E0,8.730190277E1,1.424308625E1,1.007746632E1
5.721301353E1,5.233492360E1,4.867968834E0,7.982770707E-1,1.561313441E0,8.730190277E1,1.424298944E1,1.007760314E1
5.821301317E1,5.233492422E1,4.867990038E0,9.810520103E-1,1.559235859E0,8.730190277E1,1.424288830E1,1.007774609E1
5.921301413E1,5.233492454E1,4.868010849E0,9.152840693E-1,1.533697411E0,8.818647766E1,1.424265535E1,1.007807530E1
6.021301210E1,5.233492500E1,4.868034369E0,1.001948043E0,1.573955697E0,8.818647766E1,1.424331650E1,1.007714088E1
6.121301055E1,5.233492540E1,4.868055331E0,8.410879439E-1,1.549585128E0,8.818647766E1,1.424294551E1,1.007766523E1
6.221301043E1,5.233492582E1,4.868076656E0,9.202983929E-1,1.522543083E0,8.818647766E1,1.424298254E1,1.007761289E1
6.321300876E1,5.233492561E1,4.868096978E0,1.051808402E0,1.527435558E0,9.000000000E1,1.424332216E1,1.007713288E1
6.421300769E1,5.233492561E1,4.868118080E0,9.712226214E-1,1.541684096E0,9.000000000E1,1.424356847E1,1.007678474E1
6.521300709E1,5.233492561E1,4.868139834E0,9.233671483E-1,1.573892324E0,9.000000000E1,1.424352655E1,1.007684398E1
6.621300614E1,5.233492561E1,4.868160413E0,1.128744617E0,1.551351766E0,9.000000000E1,1.424293719E1,1.007767699E1
6.721300495E1,5.233492561E1,4.868181775E0,5.171872256E-1,1.531370261E0,9.000000000E1,1.424291669E1,1.007770596E1
6.821300423E1,5.233492561E1,4.868203971E0,1.091477131E0,1.561444403E0,9.000000000E1,1.424287526E1,1.007776452E1
6.921300364E1,5.233492568E1,4.868225894E0,1.632589059E0,1.541548240E0,9.092161560E1,1.424230261E1,1.007857379E1
7.021300220E1,5.233492548E1,4.868246019E0,1.051911787E0,1.572039766E0,9.092161560E1,1.424237624E1,1.007846974E1
7.121300137E1,5.233492528E1,4.868265891E0,9.628816471E-1,1.546429010E0,9.092161560E1,1.424183083E1,1.007924044E1
7.221300018E1,5.233492508E1,4.868285854E0,5.723068165E-1,1.563301212E0,9.092161560E1,1.424192508E1,1.007910727E1
7.321299958E1,5.233492490E1,4.868304314E0,-1.828102767E-2,1.511985806E0,9.092161560E1,1.424233166E1,1.007853274E1
7.421299827E1,5.233492451E1,4.868324934E0,-2.743471451E-1,1.474837595E0,9.271981049E1,1.424172557E1,1.007938917E1
7.521299744E1,5.233492385E1,4.868347699E0,2.570853978E-1,1.557854026E0,9.271981049E1,1.424118744E1,1.008014948E1
7.621299577E1,5.233492324E1,4.868368818E0,3.337024841E-1,1.566641837E0,9.271981049E1,1.424018332E1,1.008156795E1
7.721299517E1,5.233490488E1,4.868390417E0,1.700193258E-1,1.593344526E0,9.548320038E1,1.424095606E1,1.008047637E1
7.821299410E1,5.233490360E1,4.868410888E0,1.031677872E-1,1.573962894E0,9.553569035E1,1.423958807E1,1.008240868E1
7.921299338E1,5.233490244E1,4.868434389E0,2.281316658E-1,1.603279908E0,9.420895204E1,1.423930708E1,1.008280551E1
8.021299338E1,5.233490083E1,4.868454029E0,4.756734688E-1,1.560362083E0,9.670503137E1,4.728842788E0,3.385643650E0
8.121299052E1,5.233489032E1,4.868472865E0,-3.545063548E-3,1.558536537E0,1.153817145E2,4.731654768E0,3.381712611E0
8.221298993E1,5.233488321E1,4.868489211E0,-2.297462979E-1,1.542584095E0,1.213413727E2,4.731809245E0,3.381496458E0
8.321298921E1,5.233487896E1,4.868507790E0,2.584382109E-1,1.556096773E0,1.164165149E2,4.732827943E0,3.380070517E0
8.421298730E1,5.233487551E1,4.868525168E0,1.162327381E0,1.421055901E0,1.139677409E2,4.737822061E0,3.373066728E0
8.521298742E1,5.233487279E1,4.868544976E0,1.638503190E0,1.448222358E0,1.089882129E2,4.738314500E0,3.372374939E0
8.621298671E1,5.233487163E1,4.868565428E0,1.494589368E0,1.537538303E0,1.032324746E2,4.739143374E0,3.371210037E0
8.721298504E1,5.233487095E1,4.868586037E0,1.368950045E0,1.570289942E0,9.816304251E1,4.736548869E0,3.374854344E0
8.821298444E1,5.233487022E1,4.868607645E0,1.332394556E0,1.578436658E0,9.569701791E1,4.735379185E0,3.376495374E0
8.921298325E1,5.233486985E1,4.868628290E0,1.306170949E0,1.577871584E0,9.445956864E1,4.736054345E0,3.375548292E0
9.021298146E1,5.233486646E1,4.868647843E0,1.337924819E0,1.526896360E0,9.805431983E1,4.736984814E0,3.374242420E0
9.121298099E1,5.233485606E1,4.868660544E0,1.239345981E0,1.516608562E0,1.165162392E2,4.736772393E0,3.374540610E0
9.221297944E1,5.233483693E1,4.868648531E0,1.613846490E0,1.526785832E0,1.646382304E2,4.734863378E0,3.377218652E0
9.321297872E1,5.233484100E1,4.868607615E0,2.942847458E0,1.345620349E0,2.406331057E2,4.736029060E0,3.375583768E0
9.421297753E1,5.233486489E1,4.868583523E0,2.420594442E0,1.579149090E0,3.097192542E2,4.739450926E0,3.370777648E0
9.521297705E1,5.233488535E1,4.868584995E0,1.274884615E0,1.544286248E0,3.459332835E2,4.733864029E0,3.378619303E0
9.621297562E1,5.233489808E1,4.868584034E0,1.184317049E0,1.562398367E0,3.540202638E2,4.734310202E0,3.377994070E0
9.721297419E1,5.233490234E1,4.868560043E0,2.342158966E0,1.352518249E0,3.193349173E2,4.733986130E0,3.378448217E0
9.821297324E1,5.233488058E1,4.868561172E0,3.683819164E0,8.749066439E-1,2.011248134E2,4.743207342E0,3.365489734E0
9.921297264E1,5.233485616E1,4.868572827E0,2.155860921E0,1.644133321E0,1.710423336E2,4.738131175E0,3.372632504E0
1.002129720E2,5.233484403E1,4.868584226E0,1.653867194E0,1.558748125E0,1.633268028E2,4.733507414E0,3.379118908E0
1.012129710E2,5.233484003E1,4.868603385E0,1.461465433E0,1.429219662E0,1.392796308E2,4.732875702E0,3.380003643E0
1.022129695E2,5.233484773E1,4.868611999E0,1.493130955E0,6.700544645E-1,8.992624789E1,4.735928107E0,3.375725404E0
1.032129680E2,5.233486981E1,4.868596569E0,1.545023330E0,1.120913258E0,3.438531676E2,4.738000384E0,3.372816240E0
1.042129673E2,5.233488069E1,4.868594146E0,1.054379147E0,1.036331663E0,3.509563207E2,4.741162101E0,3.368370372E0
1.052129668E2,5.233487985E1,4.868602935E0,9.716812633E-1,4.298007782E-1,4.021010641E1,4.741523271E0,3.367861948E0
1.062129653E2,5.233487071E1,4.868602997E0,8.293403331E-1,1.738788819E-1,5.042760358E1,4.741921236E0,3.367301594E0
1.072129644E2,5.233486013E1,4.868604546E0,9.747788012E-1,1.496548638E-1,5.042760849E1,4.741565860E0,3.367801987E0
1.082129633E2,5.233485377E1,4.868605411E0,1.365845201E0,9.912718158E-2,5.042761137E1,4.742374753E0,3.366662848E0
1.092129616E2,5.233485816E1,4.868611081E0,1.216858691E0,5.119204329E-1,3.927279525E1,4.742127559E0,3.367011025E0
1.102129606E2,5.233486850E1,4.868608229E0,1.082451153E0,8.846786558E-1,3.275432855E0,4.742134194E0,3.367001681E0
1.112129587E2,5.233487512E1,4.868604320E0,8.701263862E-1,8.637624066E-1,3.564114149E2,4.742589542E0,3.366360270E0
1.122129594E2,5.233487919E1,4.868606389E0,5.204331959E-1,5.675777158E-1,3.180871032E0,4.743442166E0,3.365158755E0
1.132129569E2,5.233487174E1,4.868608826E0,5.963187134E-1,9.100107053E-2,1.161755899E1,4.744379882E0,3.363836584E0
1.142129564E2,5.233486280E1,4.868613535E0,4.733285466E-1,1.246767849E-1,1.161756464E1,4.744351453E0,3.363876680E0
1.152129556E2,5.233485631E1,4.868609370E0,4.792088522E-1,7.006421650E-2,1.161756085E1,4.743302787E0,3.365355213E0
1.162129544E2,5.233485505E1,4.868616518E0,6.349856984E-1,3.749710082E-1,1.161756839E1,4.743087462E0,3.365658682E0
1.172129536E2,5.233485817E1,4.868609331E0,6.839677608E-1,3.179308482E-1,1.161756066E1,4.742129797E0,3.367007874E0
1.182129526E2,5.233486481E1,4.868592006E0,2.324449401E-1,8.565341814E-1,3.312829802E2,4.738940092E0,3.371495786E0
1.192129512E2,5.233487147E1,4.868585685E0,3.324878560E-1,8.582671527E-1,3.334043386E2,4.736401762E0,3.375060797E0
1.202129501E2,5.233487208E1,4.868595909E0,4.415571289E-1,2.885713876E-1,2.973264778E1,4.738979490E0,3.371440408E0
1.212129494E2,5.233486886E1,4.868612720E0,4.200739805E-1,6.085183158E-1,9.802596831E1,4.740098539E0,3.369866893E0
1.222129477E2,5.233486178E1,4.868612576E0,5.211071912E-1,4.623410830E-1,1.489841438E2,4.738914435E0,3.371531849E0
1.232129472E2,5.233485339E1,4.868601648E0,4.326273846E-1,6.942142581E-1,1.938387167E2,4.740176722E0,3.369756917E0
1.242129456E2,5.233484715E1,4.868602322E0,1.385801183E-1,6.249119204E-1,1.857336558E2,4.742050672E0,3.367119312E0
1.252129445E2,5.233485445E1,4.868606755E0,2.936892798E-1,7.237615656E-2,1.730548622E2,4.740140462E0,3.369807922E0
1.262129437E2,5.233486292E1,4.868605421E0,3.961367952E-1,1.136762759E-1,1.730548611E2,4.739275767E0,3.371023916E0
1.272129428E2,5.233486702E1,4.868599000E0,3.181420313E-1,7.552871593E-2,1.730548572E2,4.740495752E0,3.369308098E0
1.282129409E2,5.233487136E1,4.868582668E0,3.112321319E-1,1.972267535E-1,1.730548477E2,4.740133531E0,3.369817671E0
1.292129400E2,5.233487183E1,4.868568415E0,3.399317646E-1,3.034370103E-1,1.730548396E2,4.741321786E0,3.368145596E0
1.302129399E2,5.233486771E1,4.868550499E0,2.982754121E-1,4.841234375E-1,1.730548296E2,4.740860647E0,3.368794644E0
1.312129501E2,5.233486662E1,4.868534650E0,4.897720087E-1,3.308535984E-1,1.730548206E2,4.741446722E0,3.367969717E0
1.322129376E2,5.233486487E1,4.868517442E0,2.904384062E-1,3.506416978E-1,1.730548108E2,4.742183347E0,3.366932452E0
1.332129363E2,5.233486300E1,4.868500989E0,2.710342314E-1,3.139188355E-1,1.730548015E2,4.742476281E0,3.366519829E0
1.342130100E2,5.233485808E1,4.868489758E0,2.706437651E-1,4.540334785E-1,1.730547954E2,4.742052532E0,3.367116691E0
1.352130103E2,5.233485819E1,4.868495353E0,4.007406346E-1,2.099515059E-1,1.730547985E2,4.738241763E0,3.372477136E0
1.362130090E2,5.233485945E1,4.868517140E0,-8.777586930E-2,4.375134093E-1,1.730548109E2,4.739069438E0,3.371313971E0
1.372130100E2,5.233486188E1,4.868547290E0,4.659395013E-2,1.121228338E0,9.948519503E1,4.739547113E0,3.370642401E0
1.382130089E2,5.233486408E1,4.868577886E0,7.589220162E-2,1.625189340E0,8.940386541E1,4.738419559E0,3.372227323E0
1.392130114E2,5.233486566E1,4.868601614E0,5.600955710E-2,1.587614735E0,8.766225320E1,4.738150440E0,3.372605438E0
1.402130117E2,5.233486423E1,4.868624778E0,1.316405460E-2,1.526679536E0,9.226754002E1,4.737378068E0,3.373690275E0
1.412130119E2,5.233486403E1,4.868654324E0,-5.569881387E-2,1.778523182E0,9.184230677E1,4.737433264E0,3.373612767E0
1.422130102E2,5.233486270E1,4.868682088E0,5.395813193E-2,1.798750379E0,9.393231748E1,4.737835607E0,3.373047701E0
