"event","experiment time","system time","system time text"
"START",0.000000000E0,1750336308.385,"2025-06-19 14:31:48.385 UTC+02:00"
"PAUSE",1.479264538E0,1750336309.864,"2025-06-19 14:31:49.864 UTC+02:00"
